Location,Gene Symbol,Distance from Gene(s),Direction,Methylation Percentage,Number of CpGs,P-value,FWER,Flagged
Chr8:58055575-58055600,LINC00588,136502,↑,9.09%,5,2.04E-03,0.996,1
Chr21:33247896-33248007,HUNK,In Gene,↑,7.38%,7,2.10E-03,1,1
Chr16:374851-374860,AXIN1,In Gene,↑,10.24%,3,2.16E-03,0.998,1
Chr6:161796889-161796922,PARK2,In Gene,↑,10.18%,3,2.28E-03,0.998,1
Chr22:42548516-42548549,TCF20,In Gene,↑,9.47%,4,2.34E-03,0.998,1
Chr12:111475050-111475080,CUX2,In Gene,↓,10.15%,3,2.34E-03,0.999,0
Chr21:45160792-45160833,PDXK,In Gene,↑,10.15%,3,2.34E-03,0.999,0
Chr20:57414746-57414788,GNAS-AS1,In Gene,↑,8.24%,6,2.35E-03,0.999,0
Chr21:48081559-48081628,PRMT2,In Gene,↓,8.16%,6,2.45E-03,0.999,0
Chr22:46263626-46263658,ATXN10,22439,↓,9.39%,4,2.48E-03,0.998,1
Chr7:76628777-76628813,"DTX2P1-UPK3BP1-PMS2P11, UPK3B",In Gene,↓,10.05%,3,2.55E-03,0.999,1
Chr16:867228-867300,PRR25,3367,↑,8.06%,6,2.55E-03,0.999,1
Chr6:170500877-170500951,DLL1,90343,↓,7.95%,6,2.66E-03,0.999,0
Chr6:35464117-35464126,TEAD3,In Gene,↓,9.99%,3,2.67E-03,0.999,0
Chr17:38508026-38508047,RARA,In Gene,↓,8.69%,5,2.67E-03,0.999,1
Chr18:74499585-74499641,ZNF236,34922,↑,7.92%,6,2.70E-03,0.999,0
Chr6:32552054-32552107,"HLA-DQB1, HLA-DRB1",In Gene,↑,8.67%,5,2.71E-03,0.999,1
Chr13:112627430-112627519,LINC00354,71940,↑,7.91%,6,2.71E-03,0.999,0
Chr15:27139381-27139460,"GABRA5, GABRB3",In Gene,↑,8.67%,5,2.71E-03,0.999,0
Chr12:14109212-14109285,GRIN2B,In Gene,↓,7.90%,6,2.72E-03,0.999,0
Chr9:137022960-137022975,WDR5,In Gene,↓,9.95%,3,2.76E-03,0.999,1
Chr2:239134623-239134691,HES6,12217,↑,7.80%,6,2.82E-03,0.999,1
Chr16:55794479-55794586,CES1P1,In Gene,↓,8.59%,5,2.85E-03,0.999,0
Chr13:26761356-26761401,RNF6,In Gene,↑,8.55%,5,2.93E-03,0.999,1
Chr7:143208569-143208606,EPHA1-AS1,In Gene,↑,7.67%,6,2.93E-03,0.999,1
Chr7:6210439-6210450,CYTH3,In Gene,↑,9.17%,4,2.95E-03,0.998,0
Chr10:135342101-135342153,"CYP2E1, SPRN",In Gene,↑,7.56%,6,3.02E-03,0.999,1
Chr8:145731844-145731874,GPT,In Gene,↓,9.84%,3,3.02E-03,0.999,0
Chr2:128438912-128438988,LIMS2,In Gene,↑,7.53%,6,3.04E-03,0.999,0
Chr20:57415238-57415254,"GNAS, GNAS-AS1",In Gene,↓,9.13%,4,3.05E-03,0.998,0
Chr8:57359971-57360045,PENK,678,↓,9.09%,4,3.15E-03,0.998,0
Chr10:121771346-121771396,MIR4682,53242,↑,8.42%,5,3.16E-03,1,0
Chr16:55794865-55794939,CES1P1,In Gene,↓,7.14%,6,3.26E-03,1,1
Chr2:193437-193564,SH3YL1,24166,↑,8.37%,5,3.27E-03,1,0
Chr6:170574924-170574970,DLL1,16324,↑,8.36%,5,3.29E-03,1,1
Chr4:650653-650684,PDE6B,In Gene,↑,9.02%,4,3.31E-03,0.999,0
Chr5:1850001-1850029,IRX4,27512,↑,8.31%,5,3.38E-03,1,1
Chr7:16890871-16890880,AGR3,8149,↑,9.67%,3,3.48E-03,0.999,0
Chr1:45278910-45278919,BTBD19,In Gene,↑,8.95%,4,3.50E-03,0.999,0
Chr15:27139572-27139607,"GABRA5, GABRB3",In Gene,↑,8.94%,4,3.52E-03,0.999,0
Chr7:134288017-134288117,AKR1B15,23390,↑,8.91%,4,3.60E-03,0.999,1
Chr20:60638658-60638698,TAF4,In Gene,↑,8.19%,5,3.61E-03,1,1
Chr17:155046-155090,RPH3AL,In Gene,↓,8.91%,4,3.61E-03,0.999,0
Chr15:90320228-90320237,MESP2,In Gene,↓,9.60%,3,3.70E-03,0.999,1
Chr1:6064020-6064049,KCNAB2,In Gene,↓,9.59%,3,3.75E-03,0.999,0
Chr19:12984273-12984288,MAST1,In Gene,↑,8.11%,5,3.76E-03,1,0
Chr1:19890383-19890416,MINOS1-NBL1,33057,↑,8.83%,4,3.84E-03,0.999,0
Chr5:134826087-134826136,TIFAB,37998,↑,8.06%,5,3.87E-03,1,0
Chr17:74378242-74378253,"PRPSAP1, SPHK1",In Gene,↑,9.55%,3,3.88E-03,0.999,1
Chr13:100642169-100642315,ZIC2,3151,↑,8.00%,5,3.98E-03,1,1
Chr16:85160554-85160597,FAM92B,14440,↑,8.78%,4,3.99E-03,0.999,1
Chr2:3653232-3653259,COLEC11,In Gene,↓,7.97%,5,4.04E-03,1,1
Chr4:3043600-3043700,GRK4,1126,↑,7.90%,5,4.17E-03,1,0
Chr1:204120369-204120402,ETNK2,In Gene,↑,9.46%,3,4.17E-03,0.999,1
Chr14:93698025-93698054,UBR7,2464,↑,7.84%,5,4.29E-03,1,0
Chr19:50961956-50961989,MYBPC2,In Gene,↑,7.83%,5,4.31E-03,1,1
Chr8:297439-297459,FAM87A,28472,↑,9.41%,3,4.35E-03,0.999,0
Chr8:10262158-10262173,MSRA,In Gene,↓,8.63%,4,4.43E-03,0.999,1
Chr14:76734565-76734652,GPATCH2L,13880,↑,7.69%,5,4.56E-03,1,1
Chr12:133301547-133301611,ANKLE2,643,↑,7.68%,5,4.57E-03,1,0
Chr1:34098983-34099016,CSMD2,In Gene,↓,9.35%,3,4.60E-03,0.999,1
Chr3:48694189-48694222,CELSR3,In Gene,↑,8.58%,4,4.62E-03,0.999,1
Chr10:43846559-43846570,FXYD4,20520,↑,9.34%,3,4.64E-03,0.999,0
Chr9:137266685-137266830,RXRA,In Gene,↑,7.61%,5,4.69E-03,1,0
Chr18:77918047-77918074,PARD6G,In Gene,↑,9.32%,3,4.71E-03,0.999,1
Chr19:41531635-41531784,CYP2B6,7332,↓,8.49%,4,4.91E-03,0.999,1
Chr7:6198571-6198640,USP42,In Gene,↓,7.40%,5,5.01E-03,1,0
Chr19:38281308-38281315,ZNF573,In Gene,↑,9.23%,3,5.08E-03,0.999,1
Chr20:57427104-57427147,GNAS,In Gene,↑,8.44%,4,5.08E-03,0.999,0
Chr11:50227149-50227158,OR4C45,171817,↑,9.23%,3,5.09E-03,0.999,0
Chr10:135341367-135341394,"CYP2E1, SPRN",In Gene,↑,7.28%,5,5.17E-03,1,1
Chr6:29818217-29818244,HCG4B,13935,↑,9.21%,3,5.18E-03,0.999,0
Chr13:79234047-79234171,RNF219,733,↓,9.19%,3,5.27E-03,0.999,1
Chr1:161575625-161575695,"FCGR2B, FCGR3A",In Gene,↑,7.06%,5,5.38E-03,1,0
Chr5:92908661-92908706,NR2F1-AS1,In Gene,↓,8.30%,4,5.58E-03,1,1
Chr5:136833334-136833356,SPOCK1,In Gene,↓,9.11%,3,5.61E-03,0.999,1
Chr20:43378954-43378991,KCNK15,In Gene,↑,8.26%,4,5.74E-03,1,1
Chr12:50475030-50475065,ASIC1,In Gene,↓,9.07%,3,5.81E-03,0.999,0
Chr4:789734-789762,CPLX1,In Gene,↓,8.22%,4,5.89E-03,1,0
Chr11:63531095-63531112,C11orf95,In Gene,↓,8.17%,4,6.07E-03,1,1
Chr8:81478286-81478292,ZBTB10,39786,↑,9.01%,3,6.14E-03,0.999,0
Chr17:70637152-70637189,LINC00511,541,↑,8.15%,4,6.16E-03,1,1
Chr13:25212328-25212390,TPTE2P6,40514,↑,8.11%,4,6.30E-03,1,0
Chr19:37463442-37463568,ZNF568,In Gene,↓,8.09%,4,6.39E-03,1,0
Chr16:29232112-29232145,SNX29P2,30684,↑,8.96%,3,6.40E-03,0.999,0
Chr6:11711972-11712034,ADTRP,253,↓,8.95%,3,6.42E-03,0.999,0
Chr3:46735610-46735630,ALS2CL,416,↑,8.06%,4,6.50E-03,1,1
Chr5:1049680-1049760,SLC12A7,739,↓,8.04%,4,6.57E-03,1,1
Chr1:25296842-25296860,RUNX3,5230,↑,8.91%,3,6.63E-03,0.999,1
Chr15:79328285-79328306,RASGRF1,In Gene,↑,8.00%,4,6.73E-03,1,0
Chr17:74553339-74553346,SNHG16,502,↑,8.87%,3,6.88E-03,0.999,1
Chr19:3482642-3482672,DOHH,8147,↑,7.95%,4,6.95E-03,1,0
Chr2:97204384-97204402,ARID5A,In Gene,↑,7.93%,4,7.00E-03,1,0
Chr9:139874526-139874535,PTGDS,In Gene,↓,8.85%,3,7.01E-03,0.999,1
Chr22:46274081-46274117,ATXN10,32894,↓,7.93%,4,7.03E-03,1,0
Chr12:130555092-130555102,FZD10-AS1,79792,↑,8.84%,3,7.07E-03,0.999,0
Chr7:56672987-56673030,MIR4283-1,350448,↑,8.83%,3,7.12E-03,0.999,1
Chr1:161575719-161575779,"FCGR2B, FCGR3A",In Gene,↑,7.90%,4,7.14E-03,1,0
Chr22:43045842-43045860,CYB5R3,268,↑,7.88%,4,7.24E-03,1,1
ChrX:39719737-39719758,BCOR,189310,↑,7.82%,4,7.44E-03,1,1
Chr6:292808-292826,DUSP22,In Gene,↓,8.77%,3,7.48E-03,0.999,0
Chr16:86615387-86615496,FOXL1,84,↓,8.73%,3,7.71E-03,0.999,0
Chr15:21083500-21083530,POTEB2,11857,↓,7.75%,4,7.71E-03,1,1
Chr22:31644380-31644453,LIMK2,In Gene,↑,7.75%,4,7.75E-03,1,0
Chr13:113436622-113436692,ATP11A,In Gene,↓,7.71%,4,7.87E-03,1,1
Chr6:79339310-79339376,IRAK1BP1,237813,↓,7.71%,4,7.88E-03,1,0
Chr1:205470159-205470250,CDK18,3473,↑,8.69%,3,7.99E-03,0.999,1
Chr11:65393497-65393525,PCNXL3,In Gene,↓,8.68%,3,8.03E-03,0.999,0
Chr7:156735394-156735442,NOM1,6975,↑,7.67%,4,8.05E-03,1,0
Chr12:5020727-5020756,KCNA1,In Gene,↓,8.68%,3,8.07E-03,0.999,0
Chr20:43379012-43379030,KCNK15,In Gene,↑,7.66%,4,8.08E-03,1,0
Chr20:33762576-33762599,"EDEM2, PROCR",In Gene,↓,7.66%,4,8.09E-03,1,0
Chr10:88023035-88023058,GRID1,In Gene,↑,7.65%,4,8.12E-03,1,0
Chr10:6216387-6216409,PFKFB3,In Gene,↑,8.65%,3,8.22E-03,0.999,1
Chr4:184961221-184961238,STOX2,16542,↓,8.65%,3,8.25E-03,0.999,0
Chr4:165898805-165898836,TRIM61,15,↑,7.62%,4,8.25E-03,1,0
Chr2:240230683-240230691,HDAC4,In Gene,↑,8.65%,3,8.25E-03,0.999,0
Chr7:633169-633203,PRKAR1B,In Gene,↓,7.61%,4,8.27E-03,1,0
Chr3:14258046-14258136,LSM3,15427,↓,7.60%,4,8.31E-03,1,1
Chr11:31842152-31842169,RCN1,In Gene,↓,8.64%,3,8.34E-03,0.999,1
Chr1:3240030-3240056,PRDM16,In Gene,↓,8.63%,3,8.40E-03,0.999,0
Chr8:57360111-57360138,PENK,818,↓,8.62%,3,8.42E-03,0.999,0
Chr5:138923219-138923271,UBE2D2,In Gene,↓,7.56%,4,8.45E-03,1,1
Chr22:31318182-31318241,MORC2-AS1,54,↓,8.61%,3,8.53E-03,0.999,0
Chr22:49843716-49843727,C22orf34,In Gene,↓,7.53%,4,8.58E-03,1,1
Chr1:3115249-3115261,PRDM16,In Gene,↑,8.60%,3,8.58E-03,0.999,0
Chr7:39170523-39170566,POU6F2,In Gene,↓,7.51%,4,8.63E-03,1,0
Chr7:76629135-76629192,"DTX2P1-UPK3BP1-PMS2P11, UPK3B",In Gene,↓,7.49%,4,8.69E-03,1,0
Chr6:32131723-32131782,"NOTCH4, PPT2, PPT2-EGFL8, PRRT1, TNXB",In Gene,↓,7.44%,4,8.90E-03,1,1
Chr16:85317837-85317869,LINC00311,In Gene,↑,7.41%,4,9.00E-03,1,0
Chr17:73522516-73522540,LLGL2,In Gene,↓,8.53%,3,9.09E-03,0.999,0
Chr6:152421415-152421476,ESR1,In Gene,↑,8.51%,3,9.24E-03,0.999,0
Chr3:14339262-14339273,LSM3,96643,↑,7.29%,4,9.39E-03,1,0
Chr13:97980659-97980715,MBNL2,In Gene,↑,7.16%,4,9.77E-03,1,0
Chr20:57431061-57431072,GNAS,In Gene,↓,8.41%,3,9.95E-03,1,0
Chr5:1016255-1016311,NKD2,In Gene,↑,7.08%,4,9.96E-03,1,0
Chr9:123604346-123604411,"PSMD5, PSMD5-AS1",In Gene,↓,7.08%,4,9.97E-03,1,1
Chr12:99139392-99139407,ANKS1B,In Gene,↓,8.41%,3,9.97E-03,1,0
Chr19:57742146-57742277,AURKC,100,↓,6.98%,4,0.0102,1,1
Chr16:84822817-84822825,USP10,9289,↑,6.96%,4,0.0102,1,0
Chr16:53407642-53407690,CHD9,44580,↑,6.95%,4,0.0102,1,1
Chr9:140311913-140311930,EXD3,In Gene,↑,6.95%,4,0.0102,1,0
Chr3:172467914-172467936,ECT2,536,↑,8.37%,3,0.0103,1,0
Chr12:109549127-109549174,UNG,330,↓,6.88%,4,0.0104,1,1
Chr12:130821865-130821892,PIWIL1,540,↓,8.36%,3,0.0104,1,0
Chr14:104800836-104800932,TMEM179,140083,↑,6.85%,4,0.0104,1,0
Chr17:72352810-72352859,BTBD17,In Gene,↑,6.81%,4,0.0105,1,1
Chr5:101119732-101119782,SLCO4C1,449908,↑,8.32%,3,0.0106,1,0
Chr1:45966598-45966634,MMACHC,In Gene,↓,6.65%,4,0.0106,1,0
Chr1:244435869-244435894,C1orf100,80043,↑,6.59%,4,0.0107,1,1
Chr10:131264957-131264977,MGMT,471,↓,6.55%,4,0.0107,1,1
Chr6:112688620-112688632,RFPL4B,16122,↑,6.54%,4,0.0107,1,1
Chr9:100069112-100069152,CCDC180,In Gene,↓,8.27%,3,0.011,1,0
Chr20:642799-642835,SCRT2,In Gene,↓,8.20%,3,0.0117,1,0
Chr2:170624983-170625014,KLHL23,In Gene,↑,8.18%,3,0.0119,1,0
Chr22:38434451-38434500,POLR2F,In Gene,↓,8.15%,3,0.0121,1,1
Chr19:42546732-42546752,GRIK5,In Gene,↓,8.15%,3,0.0121,1,0
Chr19:49342091-49342102,PLEKHA4,In Gene,↓,8.13%,3,0.0123,1,1
Chr12:3563898-3563905,PRMT8,In Gene,↑,8.12%,3,0.0124,1,1
Chr22:49843560-49843705,C22orf34,In Gene,↓,8.11%,3,0.0125,1,1
Chr14:100069314-100069352,CCDC85C,In Gene,↑,8.10%,3,0.0125,1,0
Chr17:1508449-1508496,SLC43A2,In Gene,↑,8.07%,3,0.0128,1,0
Chr21:46955481-46955509,SLC19A1,In Gene,↑,8.07%,3,0.0128,1,0
Chr7:32358116-32358192,PDE1C,19175,↑,8.07%,3,0.0128,1,0
Chr17:406141-406199,VPS53,5709,↑,8.06%,3,0.0129,1,1
Chr16:1115951-1115956,SSTR5-AS1,In Gene,↑,8.03%,3,0.0132,1,0
Chr5:3326340-3326349,LINC01019,90917,↑,8.02%,3,0.0133,1,1
Chr11:19940828-19940852,NAV2,In Gene,↓,7.97%,3,0.0138,1,1
Chr22:23801620-23801635,ZDHHC8P1,56707,↑,7.96%,3,0.0138,1,0
Chr1:185373498-185373526,SNORD79,20295,↑,7.94%,3,0.014,1,0
Chr11:123511597-123511622,SCN3B,In Gene,↓,7.92%,3,0.0142,1,0
Chr6:170556419-170556424,DLL1,34870,↓,7.91%,3,0.0143,1,0
Chr7:4652659-4652675,FOXK1,30713,↑,7.91%,3,0.0144,1,0
Chr14:102290436-102290452,PPP2R5C,In Gene,↓,7.90%,3,0.0144,1,0
Chr9:117268387-117268393,DFNB31,657,↓,7.90%,3,0.0144,1,0
Chr16:29677936-29677970,"QPRT, SPN",In Gene,↑,7.88%,3,0.0146,1,1
Chr19:17942515-17942530,JAK3,In Gene,↓,7.86%,3,0.0148,1,0
Chr8:145844695-145844704,ARHGAP39,In Gene,↑,7.84%,3,0.015,1,0
Chr22:47372664-47372701,TBC1D22A,In Gene,↑,7.84%,3,0.015,1,0
Chr17:60216507-60216551,MED13,73864,↑,7.82%,3,0.0152,1,1
Chr11:65313895-65313925,LTBP3,In Gene,↓,7.82%,3,0.0152,1,0
Chr13:113611401-113611441,MCF2L,In Gene,↑,7.80%,3,0.0154,1,0
Chr19:41115391-41115460,LTBP4,In Gene,↓,7.72%,3,0.0162,1,0
Chr14:102054144-102054163,DIO3,24355,↑,7.71%,3,0.0163,1,1
Chr7:1209502-1209528,ZFAND2A,9107,↓,7.69%,3,0.0165,1,0
Chr3:127950682-127950726,EEFSEC,In Gene,↑,7.69%,3,0.0165,1,0
Chr11:2178580-2178617,INS-IGF2,In Gene,↑,7.68%,3,0.0166,1,1
Chr14:69095350-69095361,RAD51B,In Gene,↓,7.68%,3,0.0166,1,0
Chr9:139239714-139239724,GPSM1,In Gene,↓,7.65%,3,0.0168,1,0
Chr1:244318816-244318834,ZBTB18,98038,↑,7.65%,3,0.0169,1,0
Chr17:45401789-45401834,"EFCAB13, ITGB3",In Gene,↑,7.65%,3,0.0169,1,1
Chr1:50882644-50882652,DMRTA2,570,↑,7.64%,3,0.017,1,0
Chr8:1810397-1810406,ARHGEF10,In Gene,↓,7.63%,3,0.0171,1,1
Chr15:89949904-89949921,LINC00925,10433,↓,7.63%,3,0.0171,1,0
Chr10:27541419-27541452,LRRC37A6P,In Gene,↓,7.62%,3,0.0172,1,1
Chr19:55767234-55767280,PPP6R1,In Gene,↑,7.60%,3,0.0174,1,0
Chr10:128077478-128077501,ADAM12,454,↓,7.59%,3,0.0175,1,0
Chr6:32729499-32729506,"HLA-DQB2, TAP2",In Gene,↑,7.57%,3,0.0177,1,0
Chr7:140135620-140135702,RAB19,9570,↑,7.57%,3,0.0177,1,1
Chr7:39170495-39170516,POU6F2,In Gene,↓,7.54%,3,0.018,1,0
Chr19:5093494-5093542,KDM4B,In Gene,↓,7.53%,3,0.0181,1,0
Chr1:228786015-228786048,DUSP5P1,In Gene,↓,7.51%,3,0.0183,1,0
Chr13:100578841-100578881,CLYBL,29454,↑,7.51%,3,0.0183,1,1
Chr9:123604533-123604565,"PSMD5, PSMD5-AS1",In Gene,↓,7.50%,3,0.0184,1,0
Chr10:42863012-42863029,CCNYL2,40587,↓,7.49%,3,0.0185,1,1
Chr20:60295133-60295176,CDH4,In Gene,↓,7.48%,3,0.0186,1,0
Chr5:172069164-172069168,NEURL1B,In Gene,↓,7.48%,3,0.0187,1,1
Chr22:36806418-36806444,MYH9,22355,↓,7.47%,3,0.0188,1,0
Chr19:3482705-3482714,DOHH,8105,↑,7.42%,3,0.0192,1,0
Chr9:140311865-140311870,EXD3,In Gene,↑,7.39%,3,0.0195,1,0
Chr16:57317738-57317777,PLLP,In Gene,↓,7.38%,3,0.0196,1,0
Chr22:29628731-29628784,EMID1,In Gene,↑,7.36%,3,0.0198,1,0
Chr13:111212104-111212152,RAB20,In Gene,↓,7.35%,3,0.0199,1,1
Chr5:140769385-140769410,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGA4, PCDHGA5, PCDHGA6, PCDHGA7, PCDHGB1, PCDHGB2, PCDHGB3, PCDHGB4",In Gene,↓,7.34%,3,0.02,1,1
ChrX:119134973-119134981,NKAP,57238,↓,7.27%,3,0.0207,1,0
Chr10:8098304-8098329,GATA3,In Gene,↓,7.26%,3,0.0208,1,0
Chr6:3284818-3284861,"PSMG4, SLC22A23",In Gene,↓,7.24%,3,0.0209,1,1
Chr9:95569432-95569474,ANKRD19P,2196,↓,7.22%,3,0.0211,1,1
Chr16:19126511-19126541,ITPRIPL2,In Gene,↑,7.22%,3,0.0211,1,1
Chr6:101851401-101851456,GRIK2,In Gene,↓,7.22%,3,0.0212,1,0
Chr4:7287643-7287675,SORCS2,In Gene,↓,7.21%,3,0.0212,1,1
Chr2:167467176-167467210,SCN7A,116419,↓,7.20%,3,0.0213,1,0
Chr10:133484909-133484937,PPP2R2D,263018,↓,7.19%,3,0.0214,1,1
Chr15:102028568-102028611,PCSK6,In Gene,↓,7.18%,3,0.0215,1,0
Chr2:105480692-105480701,LINC01159,1254,↑,7.18%,3,0.0215,1,0
Chr4:1523149-1523176,FAM53A,96466,↓,7.17%,3,0.0215,1,0
Chr2:18766019-18766045,"NT5C1B, NT5C1B-RDH14",In Gene,↑,7.13%,3,0.0219,1,1
Chr14:101908995-101909001,DIO3OS,109557,↑,7.13%,3,0.0219,1,1
ChrX:57163620-57163655,SPIN2A,In Gene,↓,7.12%,3,0.022,1,0
Chr3:39543891-39543968,MOBP,In Gene,↑,7.12%,3,0.0221,1,1
Chr12:563117-563126,B4GALNT3,6404,↓,7.12%,3,0.0221,1,0
Chr15:41100392-41100415,ZFYVE19,In Gene,↑,7.11%,3,0.0221,1,1
Chr2:105273359-105273366,LINC01114,89730,↓,7.09%,3,0.0223,1,0
Chr16:4000562-4000577,ADCY9,2811,↑,7.08%,3,0.0224,1,0
Chr4:14864687-14864692,CPEB2-AS1,46893,↓,7.07%,3,0.0225,1,1
Chr8:58055861-58055877,LINC00588,136225,↑,7.04%,3,0.0227,1,1
Chr22:49447831-49447866,FAM19A5,201107,↓,7.02%,3,0.0228,1,1
ChrX:25027953-25027997,ARX,In Gene,↓,7.00%,3,0.023,1,1
Chr18:76737020-76737035,SALL3,3240,↑,6.98%,3,0.0232,1,0
Chr5:1379558-1379572,SLC6A3,13337,↓,6.98%,3,0.0232,1,0
Chr1:3282878-3282902,PRDM16,In Gene,↓,6.96%,3,0.0233,1,0
Chr11:2411855-2411870,CD81,In Gene,↓,6.95%,3,0.0234,1,0
Chr17:80193936-80193954,SLC16A3,In Gene,↑,6.95%,3,0.0234,1,0
Chr4:1409006-1409022,NKX1-1,8887,↓,6.95%,3,0.0234,1,0
Chr17:3600547-3600720,P2RX5,849,↑,6.93%,3,0.0236,1,1
Chr16:49312050-49312168,CBLN1,In Gene,↑,6.93%,3,0.0236,1,0
Chr15:27139493-27139508,"GABRA5, GABRB3",In Gene,↑,6.88%,3,0.0239,1,0
Chr6:28984235-28984255,ZNF311,11097,↑,6.87%,3,0.0239,1,0
Chr7:130132881-130132886,MEST,In Gene,↑,6.79%,3,0.0244,1,0
Chr19:15982553-15982579,CYP4F2,6254,↓,6.79%,3,0.0245,1,0
Chr8:2075413-2075462,MYOM2,In Gene,↑,6.79%,3,0.0245,1,1
Chr12:105089509-105089588,CHST11,In Gene,↓,6.78%,3,0.0245,1,0
