CpG ID,Chromsoome,Position,Strand,Gene Symbol(s),Genomic Strcture(s),Relation to CpG Island,Correlation with LSI,aLIS FDR,Known Stress Gene?,Potentially Functional?
cg00687135,chr3,21792991,-,ZNF385D,TSS200,OpenSea,0.6398575,0.021386708,FALSE,FALSE
cg05529343,chr3,22412124,+,NA,NA,N_Shore,-0.6002895,0.017805346,FALSE,FALSE
cg15693572,chr3,22412385,-,NA,NA,N_Shore,-0.5278395,0.007102067,FALSE,FALSE
cg23480021,chr3,22412746,+,NA,NA,N_Shore,-0.6543419,0.007302026,FALSE,FALSE
cg03274391,chr3,22413232,+,NA,NA,N_Shore,-0.5564928,0.034566391,FALSE,FALSE
cg27507687,chr3,48632484,-,COL7A1,Body,Island,0.6814283,0.003898841,TRUE,FALSE
cg11846236,chr3,48632568,+,COL7A1,1stExon,Island,0.5660217,0.001924085,TRUE,FALSE
cg17913386,chr3,48632582,+,COL7A1,1stExon,Island,0.5315047,0.001387148,TRUE,FALSE
cg00158683,chr3,48632625,-,COL7A1,TSS200,Island,0.4185992,0.001232903,TRUE,FALSE
cg08772752,chr3,48632672,+,COL7A1,TSS200,Island,0.7804605,0.000157587,TRUE,FALSE
cg12448161,chr3,48632723,+,COL7A1,TSS200,Island,0.6537387,0.003844709,TRUE,FALSE
cg00178511,chr3,48632778,+,COL7A1,TSS200,Island,0.5543034,0.030451827,TRUE,FALSE
cg11839681,chr3,49940919,-,MST1R,1stExon,Island,-0.6060138,0.043659433,TRUE,FALSE
cg24032752,chr3,50388670,-,TUSC4;CYB561D2,TSS200;5'UTR,Island,0.4520913,0.040263999,FALSE,FALSE
cg12708802,chr3,50388878,+,TUSC4;CYB561D2,TSS1500;Body,S_Shore,0.502606,0.012227822,FALSE,FALSE
cg08207895,chr3,50388901,+,TUSC4;CYB561D2,TSS1500;Body,S_Shore,0.6404914,0.008718709,FALSE,FALSE
cg09545109,chr3,50388910,+,TUSC4;CYB561D2,TSS1500;Body,S_Shore,0.4913813,0.044957918,FALSE,FALSE
cg11167446,chr3,57109406,-,ARHGEF3;SPATA12,5'UTR;3'UTR,N_Shelf,0.6885304,0.041834161,TRUE,FALSE
cg19541260,chr3,64255618,+,NA,NA,S_Shore,0.4535913,0.003570856,FALSE,FALSE
cg22679740,chr3,64257335,+,NA,NA,S_Shelf,-0.8266871,0.002230045,FALSE,FALSE
cg05046556,chr3,101232283,-,SENP7;SENP7,TSS200;TSS200,S_Shore,-0.5993453,0.028744559,FALSE,FALSE
cg09546921,chr3,128336483,+,NA,NA,Island,0.7169727,0.006831618,FALSE,FALSE
cg18191418,chr3,128336579,+,NA,NA,Island,0.6038733,0.003303083,FALSE,FALSE
cg02020882,chr3,128336728,+,NA,NA,Island,0.5554655,0.000871526,FALSE,FALSE
cg18108362,chr3,128336744,+,NA,NA,Island,0.5674562,0.000279918,FALSE,FALSE
cg15595044,chr3,128336857,-,NA,NA,Island,0.7462106,2.03E-05,FALSE,FALSE
cg01560556,chr3,128337004,+,NA,NA,Island,0.5234581,0.001052436,FALSE,FALSE
cg10691592,chr3,128337033,-,NA,NA,Island,0.7076198,0.002545108,FALSE,FALSE
cg11882307,chr3,128968397,-,COPG,TSS200,Island,-0.5103555,0.042616937,FALSE,FALSE
cg14230378,chr3,131080483,-,NUDT16P;NUDT16P,TSS1500;TSS1500,N_Shore,0.6014273,0.046405226,FALSE,FALSE
cg00404641,chr3,131080516,+,NUDT16P;NUDT16P,TSS200;TSS1500,N_Shore,0.6710771,0.011784268,FALSE,FALSE
cg20804831,chr3,131080579,-,NUDT16P;NUDT16P,TSS200;TSS200,Island,0.5773222,0.022023912,FALSE,FALSE
cg22921096,chr3,184056553,+,FAM131A;FAM131A,5'UTR;Body,Island,0.6834629,0.042486836,FALSE,FALSE
cg10585661,chr3,184056618,-,FAM131A;FAM131A,5'UTR;Body,Island,0.6302712,0.042747358,FALSE,FALSE
cg08521684,chr3,195488725,+,MUC4;MUC4;MUC4,Body;Body;Body,Island,-0.4842807,0.02125923,FALSE,TRUE
cg27353899,chr3,195488922,+,MUC4;MUC4;MUC4,Body;Body;Body,Island,-0.5245341,0.003680156,FALSE,TRUE
cg05834845,chr3,195489306,+,MUC4;MUC4;MUC4,Body;Body;Body,Island,-0.4460814,0.002585115,FALSE,TRUE
cg13752114,chr3,195489708,+,MUC4;MUC4;MUC4,Body;Body;Body,Island,-0.4354493,0.003124424,FALSE,TRUE
cg18918831,chr3,195489782,-,MUC4;MUC4;MUC4,Body;Body;Body,Island,-0.3908162,0.006967442,FALSE,TRUE
cg18713687,chr3,195489789,-,MUC4;MUC4;MUC4,Body;Body;Body,Island,-0.3285396,0.013804167,FALSE,TRUE
cg07341007,chr3,195489909,-,MUC4;MUC4;MUC4,Body;Body;Body,Island,-0.3783677,0.025764071,FALSE,TRUE
cg27207756,chr4,1607291,-,NA,NA,OpenSea,0.3121282,0.036097736,FALSE,FALSE
cg13444392,chr4,1608283,-,NA,NA,OpenSea,-0.3011911,0.021896997,FALSE,FALSE
cg12990465,chr4,1608472,-,NA,NA,OpenSea,0.6144025,0.011423314,FALSE,FALSE
cg22869369,chr4,1608593,+,NA,NA,OpenSea,-0.4528879,0.043268066,FALSE,FALSE
cg18811916,chr4,41961749,+,TMEM33,3'UTR,OpenSea,0.7031532,0.033275053,FALSE,FALSE
cg13210763,chr4,58309519,-,NA,NA,OpenSea,0.484519,0.041702985,FALSE,FALSE
cg18049228,chr4,58411476,+,NA,NA,OpenSea,0.7455855,0.013904267,FALSE,FALSE
cg12417549,chr4,70697416,+,NA,NA,OpenSea,0.7894236,0.005073252,FALSE,FALSE
cg14236118,chr4,70697558,-,NA,NA,OpenSea,0.249641,0.010612437,FALSE,FALSE
cg18336878,chr4,70709536,+,SULT1E1,Body,OpenSea,0.3367971,0.009882815,FALSE,FALSE
cg24746726,chr4,70726093,-,SULT1E1,TSS1500,OpenSea,0.6058725,0.011151045,FALSE,FALSE
cg09096383,chr4,70796842,-,CSN1S1;CSN1S1,5'UTR;5'UTR,OpenSea,0.5690822,0.03764515,FALSE,FALSE
cg03441452,chr4,124273068,-,NA,NA,OpenSea,0.7423168,0.009707361,FALSE,FALSE
cg15351009,chr5,191486,+,LRRC14B,TSS200,N_Shore,0.4559463,0.019891789,FALSE,FALSE
cg24696500,chr5,191492,+,LRRC14B,TSS200,N_Shore,0.3859939,0.010246883,FALSE,FALSE
cg00607051,chr5,191500,+,LRRC14B,TSS200,N_Shore,0.4195401,0.006297419,FALSE,FALSE
cg26866348,chr5,191547,-,LRRC14B,TSS200,N_Shore,0.329459,0.00582733,FALSE,FALSE
cg12711961,chr5,191600,-,LRRC14B,TSS200,N_Shore,0.3876365,0.006899777,FALSE,FALSE
cg15730313,chr5,191628,-,LRRC14B;LRRC14B,1stExon;5'UTR,N_Shore,0.4399304,0.009369353,FALSE,FALSE
cg13787932,chr5,191793,-,LRRC14B,1stExon,Island,0.4670018,0.018780551,FALSE,FALSE
cg15200711,chr5,1507775,+,LPCAT1,Body,OpenSea,-0.7793932,0.043007289,FALSE,FALSE
cg01988325,chr5,54467378,+,MIR449B;MIR449A;CDC20B;CDC20B;CDC20B,TSS1500;TSS1500;Body;Body;Body,N_Shore,0.3383016,0.042226416,FALSE,FALSE
cg02711460,chr5,54468707,-,MIR449C;CDC20B;CDC20B;CDC20B,TSS1500;Body;Body;Body,N_Shore,-0.5244153,0.005013692,FALSE,FALSE
cg17629685,chr5,60240870,+,NDUFAF2;ERCC8;ERCC8,TSS200;1stExon;5'UTR,Island,0.5398718,0.048377666,TRUE,FALSE
cg00643557,chr5,60240891,+,NDUFAF2;ERCC8;ERCC8,TSS200;1stExon;5'UTR,Island,0.4434967,0.023045764,TRUE,FALSE
cg18348500,chr5,60240926,-,NDUFAF2;ERCC8,TSS200;TSS200,Island,0.5606924,0.01341427,TRUE,FALSE
cg09858107,chr5,60240938,-,NDUFAF2;ERCC8,TSS200;TSS200,Island,0.3198811,0.013221841,TRUE,FALSE
cg11649654,chr5,60240952,-,NDUFAF2;ERCC8,TSS200;TSS200,Island,0.5110037,0.00841915,TRUE,FALSE
cg20540608,chr5,60241003,-,NDUFAF2;ERCC8;NDUFAF2,1stExon;TSS200;5'UTR,Island,0.4993798,0.005693655,TRUE,FALSE
cg23316671,chr5,60241324,-,NDUFAF2;ERCC8,Body;TSS1500,Island,0.4570168,0.007572603,TRUE,FALSE
cg17409276,chr5,60241424,+,NDUFAF2;ERCC8,Body;TSS1500,Island,0.5513848,0.008566569,TRUE,FALSE
cg06610675,chr5,60241428,+,NDUFAF2;ERCC8,Body;TSS1500,Island,0.6533853,0.012581319,TRUE,FALSE
cg06501366,chr5,78365687,+,BHMT2;DMGDH,Body;TSS1500,Island,0.438809,0.016626579,FALSE,FALSE
cg08328513,chr5,78365691,+,BHMT2;DMGDH,Body;TSS1500,Island,0.4837183,0.004446159,FALSE,FALSE
cg03400060,chr5,78365801,-,BHMT2;DMGDH,Body;TSS1500,S_Shore,0.4325745,0.001855414,FALSE,FALSE
cg01902605,chr5,78366076,+,BHMT2;DMGDH,Body;TSS1500,S_Shore,0.421159,0.001081049,FALSE,FALSE
cg17408087,chr5,78369355,-,BHMT2,Body,S_Shelf,0.6940504,0.000302896,FALSE,FALSE
cg23077575,chr5,132113608,+,SEPT8;SEPT8;SEPT8;SEPT8,TSS200;TSS1500;TSS1500;TSS1500,Island,-0.6443643,0.002380777,FALSE,FALSE
cg19518672,chr5,132113620,+,SEPT8;SEPT8;SEPT8;SEPT8,TSS200;TSS1500;TSS1500;TSS1500,Island,-0.6306567,0.000241767,FALSE,FALSE
cg27309611,chr5,132113725,-,SEPT8;SEPT8;SEPT8;SEPT8,TSS200;TSS1500;TSS1500;TSS1500,S_Shore,-0.6346692,0.000109095,FALSE,FALSE
cg08979191,chr5,132113734,+,SEPT8;SEPT8;SEPT8;SEPT8,TSS200;TSS1500;TSS1500;TSS1500,S_Shore,-0.7705703,3.35E-05,FALSE,FALSE
cg25212993,chr5,132113755,+,SEPT8;SEPT8;SEPT8;SEPT8,TSS200;TSS1500;TSS1500;TSS1500,S_Shore,-0.3878642,0.002193706,FALSE,FALSE
cg06941635,chr5,132113776,-,SEPT8;SEPT8;SEPT8;SEPT8,TSS1500;TSS1500;TSS1500;TSS1500,S_Shore,-0.3241693,0.004335949,FALSE,FALSE
cg01444808,chr5,132113860,-,SEPT8;SEPT8;SEPT8;SEPT8,TSS1500;TSS1500;TSS1500;TSS1500,S_Shore,-0.4544157,0.003256373,FALSE,FALSE
cg24951781,chr5,132114055,-,SEPT8;SEPT8;SEPT8;SEPT8,TSS1500;TSS1500;TSS1500;TSS1500,S_Shore,-0.7074371,0.002624956,FALSE,FALSE
cg07828169,chr5,132114623,-,8-Sep,TSS1500,S_Shore,-0.4508913,0.049464591,FALSE,FALSE
cg00697057,chr5,138713897,+,SLC23A1;SLC23A1,Body;Body,Island,-0.5471485,0.034823497,TRUE,FALSE
cg00976381,chr5,138713954,-,SLC23A1;SLC23A1,Body;Body,Island,-0.2789567,0.034179374,TRUE,FALSE
cg26929925,chr5,138714136,-,SLC23A1;SLC23A1,Body;Body,Island,-0.3798708,0.031861632,TRUE,FALSE
cg12205435,chr5,138714322,-,SLC23A1;SLC23A1,Body;Body,Island,-0.4073312,0.035334343,TRUE,FALSE
cg11459648,chr5,138714337,-,SLC23A1;SLC23A1,Body;Body,Island,-0.4167068,0.040787167,TRUE,FALSE
cg15696462,chr5,162995646,-,NA,NA,OpenSea,0.4022601,0.03096852,FALSE,FALSE
cg12608053,chr5,162996851,-,NA,NA,OpenSea,0.4293936,0.026413642,FALSE,FALSE
cg01579024,chr5,170288757,-,RANBP17,TSS1500,N_Shore,-0.6549947,0.015277839,FALSE,FALSE
cg02091185,chr5,170288766,-,RANBP17,TSS1500,N_Shore,-0.7194019,0.013034015,FALSE,FALSE
cg00232827,chr5,172096764,-,NEURL1B,Body,Island,0.7787691,0.000741309,FALSE,TRUE
cg24667575,chr5,172097064,+,NEURL1B,Body,Island,0.7196696,4.65E-05,FALSE,TRUE
cg11624524,chr5,172097289,+,NEURL1B,Body,Island,0.7165967,3.64E-05,FALSE,TRUE
cg17157275,chr5,172097385,+,NEURL1B,Body,Island,0.655573,0.004837664,FALSE,TRUE
cg16855352,chr6,761284,+,NA,NA,OpenSea,0.5670827,0.039219103,FALSE,FALSE
cg23172545,chr6,2875602,-,NA,NA,Island,0.569326,0.003033314,FALSE,FALSE
cg23321524,chr6,2875654,+,NA,NA,Island,0.6138108,0.000133822,FALSE,FALSE
cg07096305,chr6,2875723,+,NA,NA,Island,0.6529934,4.02E-05,FALSE,FALSE
cg02792740,chr6,2876395,-,NA,NA,S_Shore,0.5908456,6.86E-05,FALSE,FALSE
cg17298973,chr6,2876494,-,NA,NA,S_Shore,0.6391054,0.00226694,FALSE,FALSE
cg21146268,chr6,26183508,+,HIST1H2BE,TSS1500,N_Shore,0.5519545,0.045879139,TRUE,FALSE
cg24467330,chr6,28641751,+,NA,NA,OpenSea,-0.6608635,0.044828981,FALSE,FALSE
cg17753711,chr6,30539066,+,ABCF1;ABCF1,TSS200;TSS200,Island,-0.509716,0.041310378,FALSE,FALSE
cg12495593,chr6,30539072,+,ABCF1;ABCF1,TSS200;TSS200,Island,-0.5461599,0.02992854,FALSE,FALSE
cg10365886,chr6,32063874,+,TNXB,Body,Island,0.4266083,0.019769463,TRUE,FALSE
cg07524919,chr6,32063901,+,TNXB,Body,Island,0.3596725,0.012491767,TRUE,FALSE
cg00872984,chr6,32063991,+,TNXB,Body,Island,0.4333375,0.005894369,TRUE,FALSE
cg27387193,chr6,32064032,+,TNXB,Body,Island,0.429128,0.003212805,TRUE,FALSE
cg17662683,chr6,32064146,+,TNXB,Body,Island,0.4408379,0.001751498,TRUE,FALSE
cg01569346,chr6,32064148,+,TNXB,Body,Island,0.4285492,0.001263355,TRUE,FALSE
cg03421270,chr6,32064153,+,TNXB,Body,Island,0.4731697,0.000839764,TRUE,FALSE
cg08516507,chr6,32064206,+,TNXB,Body,Island,0.4774513,0.001141042,TRUE,FALSE
cg01992382,chr6,32064212,+,TNXB,Body,Island,0.4407447,0.00209183,TRUE,FALSE
cg16834823,chr6,32064218,+,TNXB,Body,Island,0.341112,0.003461627,TRUE,FALSE
cg00525277,chr6,32064239,+,TNXB,Body,Island,0.4321713,0.004280669,TRUE,FALSE
cg10890302,chr6,32064246,+,TNXB,Body,Island,0.4387921,0.007844596,TRUE,FALSE
cg10923662,chr6,32064258,+,TNXB,Body,Island,0.4952869,0.018044126,TRUE,FALSE
cg12858166,chr6,33033176,-,HLA-DPA1,3'UTR,OpenSea,-0.6888306,0.001890038,FALSE,TRUE
cg13661648,chr6,33035284,-,HLA-DPA1,3'UTR,OpenSea,-0.6528886,9.37E-05,FALSE,TRUE
cg18715193,chr6,33035286,-,HLA-DPA1,3'UTR,OpenSea,-0.6421547,0.000142152,FALSE,TRUE
cg20069765,chr6,33036464,-,HLA-DPA1,Body,OpenSea,-0.3120574,0.004059886,FALSE,TRUE
cg08760402,chr6,33036486,-,HLA-DPA1,Body,OpenSea,-0.1572099,0.006028611,FALSE,TRUE
cg05995528,chr6,33036495,+,HLA-DPA1,Body,OpenSea,0.6055113,0.002665341,FALSE,TRUE
cg08898074,chr6,33036547,+,HLA-DPA1,Body,OpenSea,0.3904456,0.011241678,FALSE,TRUE
cg12168509,chr6,33036934,+,HLA-DPA1,Body,OpenSea,0.3732798,0.020756579,FALSE,TRUE
cg09493313,chr6,33037444,+,HLA-DPA1,Body,OpenSea,0.1901032,0.046928965,FALSE,TRUE
cg08010331,chr6,33038032,-,HLA-DPA1,Body,OpenSea,-0.8056973,0.0170971,FALSE,TRUE
cg09234582,chr6,33048286,+,HLA-DPB1,Body,N_Shore,-0.4923131,0.012402458,FALSE,TRUE
cg25045942,chr6,33048291,-,HLA-DPB1,Body,N_Shore,-0.5214107,0.002907927,FALSE,TRUE
cg10850215,chr6,33048469,+,HLA-DPB1,Body,Island,-0.5637812,0.000417744,FALSE,TRUE
cg03229061,chr6,33048483,+,HLA-DPB1,Body,Island,-0.5205373,0.000368608,FALSE,TRUE
cg17588455,chr6,33048485,+,HLA-DPB1,Body,Island,-0.5598278,0.0004713,FALSE,TRUE
cg26645432,chr6,33048502,-,HLA-DPB1,Body,Island,-0.3335909,0.002304164,FALSE,TRUE
cg06437840,chr6,33048529,-,HLA-DPB1,Body,Island,-0.4509364,0.001681395,FALSE,TRUE
cg14870156,chr6,33048540,-,HLA-DPB1,Body,Island,-0.3303265,0.002422479,FALSE,TRUE
cg19990651,chr6,33048555,-,HLA-DPB1,Body,Island,-0.51375,0.000994201,FALSE,TRUE
cg01132696,chr6,33048558,-,HLA-DPB1,Body,Island,-0.438795,0.000902625,FALSE,TRUE
cg03636880,chr6,33048687,-,HLA-DPB1,Body,Island,-0.5246101,0.000528609,FALSE,TRUE
cg13581859,chr6,33048706,-,HLA-DPB1,Body,Island,-0.5504333,0.001324545,FALSE,TRUE
cg25511667,chr6,33048732,-,HLA-DPB1,Body,Island,-0.5489231,0.005252858,FALSE,TRUE
cg15829535,chr6,33048760,-,HLA-DPB1,Body,Island,-0.4245559,0.032631061,FALSE,TRUE
cg13000789,chr6,56589255,+,DST;DST;DST;DST,Body;Body;Body;Body,OpenSea,0.5924533,0.007707773,TRUE,FALSE
cg02953769,chr6,56591641,+,DST;DST;DST;DST,Body;Body;Body;Body,OpenSea,0.5091179,0.004724547,TRUE,FALSE
cg19600682,chr6,69344117,-,NA,NA,N_Shore,-0.3929863,0.037385636,FALSE,FALSE
cg08409816,chr6,69344406,-,BAI3,TSS1500,N_Shore,-0.5917602,0.032888425,TRUE,FALSE
cg19954602,chr6,76203532,+,FILIP1,TSS200,OpenSea,0.5587726,0.032115783,FALSE,FALSE
cg26466508,chr6,76203597,-,FILIP1,TSS200,OpenSea,0.3084471,0.016978618,FALSE,FALSE
cg10606698,chr6,76203642,-,FILIP1,TSS200,OpenSea,0.6099352,0.00556129,FALSE,FALSE
cg12569246,chr6,76203666,-,FILIP1,TSS200,OpenSea,0.4781205,0.015938559,FALSE,FALSE
cg26575105,chr6,109010960,+,NA,NA,OpenSea,-0.5692784,0.039480729,FALSE,FALSE
cg27561819,chr6,109020278,-,NA,NA,OpenSea,0.1295101,0.013318025,FALSE,FALSE
cg25697490,chr6,149286244,-,UST,Body,OpenSea,0.58454,0.038827641,TRUE,FALSE
cg19757131,chr6,149286330,+,UST,Body,OpenSea,0.6852422,0.031606718,TRUE,FALSE
cg15892964,chr6,151646540,-,AKAP12;AKAP12,TSS200;Body,N_Shore,0.3857047,0.02228007,FALSE,FALSE
cg04221606,chr6,151646552,-,AKAP12;AKAP12,TSS200;Body,N_Shore,0.5008593,0.004501307,FALSE,FALSE
cg24322333,chr6,151646584,+,AKAP12;AKAP12,TSS200;Body,N_Shore,0.2093253,0.005313082,FALSE,FALSE
cg03446012,chr6,151646601,+,AKAP12;AKAP12,TSS200;Body,N_Shore,0.3239154,0.003168955,FALSE,FALSE
cg18245460,chr6,151646651,-,AKAP12;AKAP12,TSS200;Body,N_Shore,0.39092,0.002058403,FALSE,FALSE
cg12794224,chr6,151646761,-,AKAP12;AKAP12;AKAP12,5'UTR;1stExon;Body,Island,0.2846221,0.001716592,FALSE,FALSE
