ID,Difference in M values (SZ - control),P.Value,adj.P.Val,CHR,Methyl27_Loci,UCSC_RefGene_Name,UCSC_RefGene_Group,UCSC_CpG_Islands_Name,Relation_to_UCSC_CpG_Island,Enhancer,Regulatory_Feature_Group
cg07944863,-0.431237673,4.66E-07,0.006052811,1,NA,RGS7,TSS1500,chr1:241520103-241520790,Island,NA,
cg09999109,-0.392194652,4.82E-07,0.006052811,8,NA,OPRK1,TSS200,chr8:54163303-54164443,Island,NA,
cg01980454,-0.442159112,4.87E-07,0.006052811,1,NA,,,chr1:858970-861632,Island,NA,
cg12067024,0.412499372,5.74E-07,0.006903378,1,NA,S100A7A,TSS1500,,,NA,
cg21678189,-0.42694467,6.16E-07,0.00691993,6,NA,,,chr6:10838098-10838915,Island,NA,Promoter_Associated
cg00722097,-0.452727902,6.21E-07,0.00691993,6,NA,AMD1;AMD1,TSS200;TSS200,chr6:111195383-111197576,Island,NA,Promoter_Associated
cg25395329,0.360588408,6.73E-07,0.00691993,16,NA,TGFB1I1;TGFB1I1;TGFB1I1,Body;Body;Body,chr16:31487152-31488967,Island,NA,Promoter_Associated
cg07291349,0.539126468,6.75E-07,0.00691993,4,NA,APBB2;APBB2;APBB2,Body;Body;Body,,,TRUE,
cg02675179,0.533626517,6.80E-07,0.00691993,16,NA,ACSM1,Body,,,TRUE,
cg07912888,0.467124263,6.83E-07,0.00691993,16,NA,MT1E,TSS1500,chr16:56659107-56659660,N_Shore,NA,Unclassified_Cell_type_specific
cg02550231,-0.922624944,7.96E-07,0.007150828,13,NA,CDX2,Body,chr13:28542221-28543544,Island,TRUE,Unclassified_Cell_type_specific
cg13216351,-0.325626463,8.13E-07,0.007150828,20,TRUE,MOCS3;DPM1,TSS1500;TSS200,chr20:49574816-49576287,Island,NA,Promoter_Associated
cg09352908,0.628697073,8.18E-07,0.007150828,3,NA,,,,,NA,
cg21323836,0.334281169,8.24E-07,0.007150828,6,NA,NCRNA00171,Body,,,NA,
cg25318278,0.387575011,8.25E-07,0.007150828,11,NA,LOC441601,TSS200,chr11:50257255-50257772,S_Shore,NA,
cg01566242,-0.477257466,8.56E-07,0.007150828,1,NA,MRPS21;MRPS21,TSS200;TSS200,chr1:150266476-150266689,N_Shore,NA,Promoter_Associated
cg06223767,-0.30242653,8.83E-07,0.007150828,6,NA,IRF4,Body,chr6:391188-393790,Island,NA,
cg17528967,0.398543002,9.24E-07,0.007150828,17,NA,PYY,5'UTR,chr17:42030173-42030941,S_Shore,NA,
cg03774463,-0.398390892,9.27E-07,0.007150828,7,NA,DLX6AS;DLX6,Body;Body,chr7:96634622-96634915,S_Shore,NA,
cg21767207,-0.31710787,9.51E-07,0.007150828,19,NA,PSENEN;U2AF1L4;U2AF1L4,TSS200;TSS200;TSS200,chr19:36235807-36236548,Island,NA,Promoter_Associated
cg16453926,0.60979165,9.51E-07,0.007150828,6,NA,,,chr6:28831682-28832134,N_Shore,NA,
cg13704629,0.409762499,9.89E-07,0.007150828,14,NA,DCAF4;DCAF4;DCAF4;DCAF4;DCAF4,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,chr14:73392696-73393616,S_Shelf,NA,
cg03017824,0.405876277,1.00E-06,0.007150828,1,NA,LOC100130093;LOC100130093,TSS1500;TSS1500,chr1:227916425-227916736,N_Shore,NA,
cg02738677,0.656965683,1.03E-06,0.007150828,3,NA,,,,,NA,
cg27100140,0.459869411,1.03E-06,0.007150828,12,NA,,,chr12:122124839-122125216,S_Shelf,NA,
cg01249134,0.393485701,1.03E-06,0.007150828,18,NA,,,chr18:580179-580899,N_Shelf,NA,
cg00659421,-0.70986783,1.03E-06,0.007150828,7,NA,DMTF1;DMTF1;DMTF1;DMTF1;DMTF1;DMTF1;DMTF1,5'UTR;TSS200;1stExon;1stExon;Body;Body;5'UTR,chr7:86781624-86782194,Island,NA,Promoter_Associated
cg00288584,-0.304934735,1.04E-06,0.007150828,8,NA,TMEM55A;TMEM55A,1stExon;5'UTR,,,TRUE,Promoter_Associated
cg09527714,0.311379312,1.15E-06,0.007315499,12,NA,,,,,NA,
ch.7.285380F,-0.845830067,1.18E-06,0.007315499,7,NA,ZNF853,Body,chr7:6661875-6662695,N_Shore,NA,
cg13904560,0.583395362,1.18E-06,0.007315499,15,NA,GABRB3;GABRB3,Body;Body,chr15:26874097-26874528,N_Shelf,NA,
cg13346073,-0.322704408,1.19E-06,0.007315499,18,NA,ZNF396,TSS200,chr18:32956764-32957406,Island,NA,Promoter_Associated
cg12050434,0.792043104,1.19E-06,0.007315499,12,NA,,,,,NA,
cg21842478,-0.391842471,1.20E-06,0.007315499,17,TRUE,HOXB13;HOXB13,5'UTR;1stExon,chr17:46805553-46806148,Island,NA,Unclassified_Cell_type_specific
cg19214707,0.596458388,1.21E-06,0.007315499,7,NA,,,,,TRUE,
cg27243166,0.479817048,1.26E-06,0.007315499,11,NA,NRXN2;NRXN2,Body;Body,chr11:64478843-64479598,Island,TRUE,
cg01058342,0.641741919,1.27E-06,0.007315499,3,NA,TMEM108;TMEM108,Body;Body,,,TRUE,
cg17842218,0.327805586,1.27E-06,0.007315499,12,NA,,,,,NA,
cg05736847,0.65586976,1.31E-06,0.007315499,17,NA,TNRC6C;TNRC6C,Body;Body,chr17:76100679-76101115,N_Shore,NA,
cg11468462,-0.425163437,1.31E-06,0.007315499,12,TRUE,NXPH4;NXPH4,5'UTR;1stExon,chr12:57609976-57611168,Island,TRUE,
cg16391973,0.541335433,1.31E-06,0.007315499,5,NA,UBLCP1,TSS1500,chr5:158690013-158690541,N_Shore,NA,Promoter_Associated
cg12187069,-0.454933803,1.36E-06,0.007366838,19,NA,SHKBP1,TSS200,chr19:41082615-41083355,N_Shore,NA,Promoter_Associated
cg19406511,-0.345566135,1.36E-06,0.007366838,1,NA,RAB25,Body,,,NA,Unclassified
cg03603951,-0.430125672,1.38E-06,0.007366838,2,NA,KCNK12,TSS200,chr2:47796923-47799166,Island,NA,
cg13674574,-0.45322641,1.43E-06,0.007473512,14,NA,ZBTB25;ZBTB1;ZBTB1,TSS1500;TSS200;TSS200,chr14:64969967-64972180,Island,NA,
cg09461837,-0.460485051,1.44E-06,0.007473512,7,NA,SDK1,Body,chr7:3341450-3341733,Island,NA,
cg07033876,0.37431096,1.50E-06,0.007706995,4,NA,,,chr4:132684164-132684487,S_Shore,NA,
cg23044169,0.302719274,1.61E-06,0.007967733,15,NA,PDCD7,TSS1500,chr15:65425292-65426233,S_Shore,NA,Promoter_Associated
cg16786661,-0.245474022,1.64E-06,0.007967733,2,NA,ATG16L1;ATG16L1;ATG16L1;ATG16L1,1stExon;5'UTR;5'UTR;1stExon,chr2:234160100-234160735,Island,NA,Promoter_Associated
cg05331731,-0.483449415,1.66E-06,0.007967733,18,NA,FAM38B,Body,chr18:11148307-11149936,N_Shore,TRUE,
cg00259887,-0.656224497,1.67E-06,0.007967733,8,NA,EBAG9;EBAG9;EBAG9,TSS1500;5'UTR;1stExon,chr8:110551736-110552643,Island,NA,Promoter_Associated
cg03796024,0.710862185,1.69E-06,0.007967733,10,NA,PFKP,Body,chr10:3148406-3148625,S_Shelf,NA,
cg12841650,0.702595251,1.69E-06,0.007967733,3,NA,,,chr3:14615366-14615957,Island,NA,
ch.17.1629120F,-1.743115181,1.73E-06,0.007967733,17,NA,DCAF7,Body,,,NA,
cg13797031,0.583524684,1.74E-06,0.007967733,22,TRUE,NIPSNAP1,TSS1500,chr22:29976920-29977216,S_Shore,NA,
cg04718747,0.559946843,1.76E-06,0.007967733,19,NA,TUBB4;MIR220B,Body;TSS200,chr19:6495192-6496225,Island,NA,
cg26339992,-0.401993565,1.78E-06,0.007967733,1,NA,RPA2;RPA2,1stExon;5'UTR,chr1:28240584-28241535,Island,NA,NonGene_Associated
cg00832928,0.615196945,1.79E-06,0.007967733,3,NA,SELT,Body,chr3:150329457-150329728,Island,NA,
cg17465697,-0.342835413,1.80E-06,0.007967733,1,NA,TRIM11,1stExon,chr1:228593811-228594713,Island,NA,Promoter_Associated
cg23856540,-0.376213216,1.85E-06,0.008074639,19,NA,ZNF317;ZNF317,5'UTR;1stExon,chr19:9251139-9251438,N_Shore,NA,NonGene_Associated
cg13740698,-0.382195152,1.87E-06,0.008074639,4,NA,SHISA3,TSS1500,chr4:42399152-42400802,Island,NA,Unclassified_Cell_type_specific
cg02323652,-0.500756516,1.89E-06,0.008074639,16,NA,,,chr16:14395604-14397075,Island,NA,Unclassified
cg24580635,-0.520335455,1.96E-06,0.0082607,7,NA,LOC100133091,TSS200,chr7:76178541-76179487,Island,NA,Promoter_Associated
cg05970768,0.555534807,2.00E-06,0.0082607,5,NA,UBTD2,Body,chr5:171682495-171682728,Island,NA,
cg24028141,0.33763109,2.00E-06,0.0082607,17,NA,EPN2;EPN2;EPN2,5'UTR;Body;Body,,,NA,
cg21585068,0.25460539,2.04E-06,0.0082607,19,NA,,,chr19:38924239-38924519,N_Shelf,NA,
cg11962078,0.708344342,2.05E-06,0.0082607,7,NA,,,chr7:136849054-136849346,Island,NA,
cg03368627,-0.660892749,2.09E-06,0.0082607,7,NA,CADPS2;CADPS2;CADPS2,Body;Body;Body,,,TRUE,
cg07037778,0.416499284,2.09E-06,0.0082607,1,NA,,,,,NA,
cg14094333,-0.412784518,2.11E-06,0.0082607,4,NA,KLF3;KLF3;FLJ13197,1stExon;5'UTR;Body,chr4:38664649-38666531,Island,NA,
cg11502555,0.659350694,2.13E-06,0.0082607,13,NA,,,chr13:100620241-100624348,S_Shelf,NA,
cg24663683,0.684541826,2.16E-06,0.0082607,5,NA,,,chr5:39721548-39721835,Island,NA,
cg12361223,-0.990623855,2.18E-06,0.0082607,3,NA,,,,,NA,
cg00852613,-0.39048268,2.21E-06,0.0082607,13,NA,RCBTB1,TSS200,chr13:50159386-50160106,Island,NA,
cg09840645,0.272582088,2.23E-06,0.0082607,14,NA,,,chr14:69341427-69341820,N_Shelf,NA,
cg19559519,-0.70484216,2.28E-06,0.0082607,7,NA,HOXA13,TSS200,chr7:27238690-27240311,Island,NA,
cg18518964,-0.413159155,2.31E-06,0.0082607,10,NA,,,,,NA,Unclassified_Cell_type_specific
cg25859099,0.730712527,2.31E-06,0.0082607,7,NA,,,chr7:20817455-20818227,S_Shore,TRUE,
cg20250126,-0.504236344,2.32E-06,0.0082607,4,NA,,,chr4:26030420-26030692,Island,NA,Unclassified
cg05986831,0.506373742,2.34E-06,0.0082607,13,NA,,,chr13:20135399-20136041,Island,NA,
cg13411962,-0.311489773,2.35E-06,0.0082607,8,NA,ZNF395;ZNF395,5'UTR;1stExon,chr8:28243684-28244283,Island,NA,Promoter_Associated
cg23807559,-0.446798375,2.39E-06,0.0082607,17,TRUE,COG1,1stExon,chr17:71188407-71189458,Island,NA,Promoter_Associated
cg08933276,0.618458373,2.40E-06,0.0082607,7,NA,GNA12,3'UTR,,,NA,Gene_Associated_Cell_type_specific
cg06838978,0.370958782,2.43E-06,0.0082607,1,NA,,,chr1:17240038-17240970,Island,NA,Promoter_Associated
cg05910615,-0.401179905,2.44E-06,0.0082607,19,NA,HSPB6;C19orf55,TSS1500;TSS200,chr19:36248979-36249307,N_Shore,NA,Promoter_Associated
cg16564828,0.769399617,2.46E-06,0.0082607,13,NA,MCF2L;MCF2L,Body;Body,chr13:113663201-113663539,N_Shelf,NA,
cg25446017,0.359638038,2.48E-06,0.0082607,2,NA,,,chr2:132795199-132796196,N_Shelf,NA,
cg00846248,-0.331724888,2.52E-06,0.0082607,7,NA,C7orf23,TSS200,chr7:86848911-86850024,Island,NA,Promoter_Associated
cg01909446,0.467356878,2.52E-06,0.0082607,1,NA,LOC400794,Body,,,NA,
cg19936194,-0.270157307,2.53E-06,0.0082607,3,NA,ATP1B3,TSS1500,chr3:141594486-141596288,Island,NA,Promoter_Associated
cg20585500,0.451838616,2.60E-06,0.008356667,11,TRUE,GPHA2,5'UTR,,,TRUE,Unclassified_Cell_type_specific
cg11722139,-0.419034523,2.62E-06,0.008356667,10,NA,,,chr10:102440600-102441011,S_Shore,NA,
cg08293002,0.387478114,2.63E-06,0.008356667,11,NA,,,chr11:65246336-65246591,Island,TRUE,Unclassified
cg12181751,0.37765087,2.70E-06,0.008479896,3,NA,,,,,NA,
cg00215432,-0.670849338,2.71E-06,0.008479896,2,NA,MIR375,TSS200,chr2:219866131-219868054,Island,NA,
cg18855356,0.43926497,2.81E-06,0.008675413,1,NA,CROCCL1,TSS200,,,NA,Unclassified_Cell_type_specific
cg05987389,0.444086556,2.85E-06,0.008675413,12,NA,,,,,NA,
cg08872738,-0.454557875,2.86E-06,0.008675413,12,NA,,,,,TRUE,NonGene_Associated
cg02943769,-0.289063972,2.86E-06,0.008675413,6,NA,PPARD;PPARD,5'UTR;5'UTR,chr6:35310150-35310686,Island,NA,
cg24203960,0.318339357,2.94E-06,0.008850295,2,NA,,,,,NA,
cg24815853,-0.390686498,2.97E-06,0.008856847,19,TRUE,KLK12;KLK12;KLK12,TSS1500;TSS1500;TSS1500,chr19:51535218-51535475,S_Shelf,NA,
cg06349981,-0.29506022,3.06E-06,0.008942913,2,NA,HPCAL1;HPCAL1,TSS200;5'UTR,chr2:10442308-10444509,Island,NA,Promoter_Associated
cg03717151,0.621247784,3.07E-06,0.008942913,6,NA,SOBP,Body,chr6:107955163-107956693,Island,NA,
cg22711619,0.294290976,3.09E-06,0.008942913,12,NA,,,,,NA,
cg21411490,-0.518894064,3.13E-06,0.008942913,22,NA,PATZ1;PATZ1;PATZ1;PATZ1,Body;Body;Body;Body,chr22:31741045-31743707,N_Shore,TRUE,Promoter_Associated_Cell_type_specific
cg25334575,0.474038767,3.14E-06,0.008942913,13,NA,,,chr13:100641334-100642188,Island,NA,
cg01943155,-0.443037617,3.15E-06,0.008942913,12,NA,LOC255411;LOC255411,Body;Body,,,NA,
cg04828509,-0.456882809,3.18E-06,0.008942913,7,NA,ARPC1A,TSS200,chr7:98923235-98923975,Island,NA,Unclassified
cg23220435,0.415349644,3.18E-06,0.008942913,7,NA,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,chr7:158109334-158109594,N_Shelf,NA,
cg12227660,0.832340876,3.24E-06,0.0089492,10,NA,MIR202,TSS1500,,,NA,
cg07608848,0.661894998,3.24E-06,0.0089492,2,NA,PXDN,Body,,,NA,
cg05984317,0.542007237,3.26E-06,0.0089492,7,NA,,,chr7:20817455-20818227,S_Shore,NA,
cg11786839,0.474053834,3.28E-06,0.0089492,6,NA,GMDS,Body,,,NA,
cg16501560,0.242266297,3.38E-06,0.00914392,21,NA,KRTAP12-3;C21orf29,1stExon;Body,,,NA,Unclassified_Cell_type_specific
cg00715988,-0.256067811,3.41E-06,0.00914392,14,NA,PAPOLA,TSS200,chr14:96968154-96969371,Island,NA,Promoter_Associated
cg19243130,-0.460495813,3.42E-06,0.00914392,11,NA,SIAE;SPA17,1stExon;TSS200,chr11:124543384-124544046,Island,NA,Promoter_Associated
cg16718902,0.414470945,3.53E-06,0.009304007,7,NA,TNRC18,Body,chr7:5352096-5352480,Island,NA,
cg08209163,-0.309229566,3.54E-06,0.009304007,13,NA,MTIF3;MTIF3;MTIF3;MTIF3,TSS200;5'UTR;TSS200;5'UTR,chr13:28024165-28025278,Island,NA,Promoter_Associated
cg03609088,0.65294705,3.57E-06,0.009304007,18,NA,,,chr18:76190598-76190862,Island,NA,
cg20947082,-0.451764261,3.60E-06,0.009304007,1,NA,KCNK1,TSS200,chr1:233749373-233750314,Island,NA,
cg19393762,-0.445899089,3.61E-06,0.009304007,19,NA,TNNT1;TNNT1;TNNT1,TSS1500;TSS1500;TSS1500,,,NA,
cg08672999,0.345305137,3.68E-06,0.009304007,19,NA,ZNF836,TSS1500,chr19:52674327-52674855,S_Shore,NA,Unclassified
cg08912840,0.309096434,3.68E-06,0.009304007,8,NA,,,chr8:33580364-33580600,Island,NA,
cg23316987,-0.48435507,3.69E-06,0.009304007,14,NA,OTX2;OTX2,5'UTR;TSS1500,chr14:57274607-57276840,N_Shelf,NA,
cg04845613,0.363084117,3.70E-06,0.009304007,12,NA,CCDC60,Body,,,NA,
cg01199952,0.425889721,3.72E-06,0.009312368,13,NA,,,chr13:25592046-25593108,N_Shore,NA,
cg26857910,-0.391019391,3.76E-06,0.009336498,17,NA,KCNJ12,TSS200,chr17:21279506-21281574,Island,NA,
cg12599700,-0.385251452,3.80E-06,0.00936523,16,NA,,,chr16:54962422-54967805,Island,NA,
cg06548512,0.673106045,3.84E-06,0.00936523,1,NA,,,chr1:146522288-146522555,Island,NA,
cg08284758,0.299275502,3.84E-06,0.00936523,15,NA,FAM189A1,Body,,,TRUE,
cg04550052,-0.342244624,3.87E-06,0.00936523,16,NA,SALL1;SALL1;SALL1,Body;5'UTR;1stExon,chr16:51183699-51188763,Island,NA,
cg19882093,0.371396209,3.91E-06,0.00936523,20,TRUE,GGTLC1;GGTLC1,5'UTR;1stExon,chr20:23969149-23969433,Island,NA,
cg02871827,0.497847922,3.95E-06,0.00936523,4,NA,AFAP1;AFAP1,Body;Body,,,NA,Unclassified_Cell_type_specific
cg25533556,-0.740006698,3.95E-06,0.00936523,11,NA,HTATIP2;HTATIP2;HTATIP2;HTATIP2;HTATIP2;HTATIP2;HTATIP2,TSS200;1stExon;TSS1500;1stExon;5'UTR;5'UTR;TSS200,chr11:20385161-20385673,Island,TRUE,Promoter_Associated
cg04798984,0.322283098,3.96E-06,0.00936523,6,NA,,,,,NA,
cg26532621,-0.52196812,4.00E-06,0.00936523,5,NA,PROP1,TSS200,,,TRUE,
cg19826439,-0.559837441,4.01E-06,0.00936523,1,NA,,,chr1:226297287-226298586,Island,NA,Promoter_Associated
cg01936430,-0.402152986,4.10E-06,0.009504401,1,NA,PPP1R15B,1stExon,chr1:204380313-204381159,Island,NA,Unclassified
cg25834632,0.911772867,4.21E-06,0.009704285,8,NA,ZC3H3,Body,,,NA,
cg07937578,0.679943045,4.24E-06,0.009724699,4,NA,,,,,TRUE,
cg10566581,0.541128996,4.28E-06,0.009743818,20,NA,TGIF2,3'UTR,,,NA,Gene_Associated
cg05409391,0.746015979,4.41E-06,0.009979093,11,NA,LSP1,Body,,,NA,
cg00356818,-0.513011317,4.50E-06,0.009979093,6,NA,MTRF1L;MTRF1L,TSS1500;TSS1500,chr6:153323534-153324320,Island,NA,Promoter_Associated
cg06796713,-0.698645203,4.52E-06,0.009979093,2,NA,MEIS1,Body,chr2:66661118-66661657,S_Shelf,NA,
cg05112967,0.637784257,4.53E-06,0.009979093,7,NA,,,,,NA,
cg04204557,0.576289514,4.56E-06,0.009979093,21,NA,KRTAP10-11;C21orf29,TSS1500;Body,,,NA,
cg19496364,-0.802119579,4.58E-06,0.009979093,8,NA,,,,,TRUE,
cg13316191,-0.581854257,4.61E-06,0.009979093,7,TRUE,CDCA7L;CDCA7L;CDCA7L,TSS1500;TSS1500;TSS1500,chr7:21985071-21985842,S_Shore,NA,Promoter_Associated
cg26919100,0.542349266,4.62E-06,0.009979093,16,NA,PARD6A;ACD;ACD;PARD6A;ACD,Body;TSS1500;TSS1500;Body;TSS1500,chr16:67693451-67695560,Island,NA,
cg06831761,0.270334805,4.62E-06,0.009979093,7,NA,SRPK2;SRPK2,Body;Body,chr7:104885049-104885400,Island,NA,
cg15972264,0.99948813,4.64E-06,0.009979093,6,NA,NEDD9,Body,,,NA,
cg18292434,0.472874013,4.72E-06,0.01006192,3,NA,ZIC4;ZIC4;ZIC4,Body;Body;Body,chr3:147113608-147114479,N_Shore,NA,
cg10727759,-0.274300225,4.73E-06,0.01006192,12,NA,PRPF40B,TSS200,chr12:50016973-50017466,Island,NA,Promoter_Associated
cg02717486,-0.338982849,4.80E-06,0.010113599,5,NA,SKP1;SKP1,TSS200;TSS200,chr5:133511971-133512902,Island,NA,Promoter_Associated
cg26489413,-0.597590821,4.81E-06,0.010113599,11,NA,AMPD3;AMPD3;AMPD3;AMPD3,1stExon;TSS1500;5'UTR;Body,,,NA,
cg21687740,-0.491062035,4.85E-06,0.010156209,1,NA,,,chr1:157164538-157165135,Island,NA,
cg01320780,-0.325547476,4.88E-06,0.010158704,8,NA,PPP3CC,TSS200,chr8:22298112-22299142,Island,NA,Promoter_Associated
cg01107874,-0.462938298,4.96E-06,0.010265749,10,NA,C10orf41;C10orf41,Body;Body,chr10:77155128-77169600,Island,NA,
cg10168709,0.546815271,5.02E-06,0.010346793,10,NA,CAMK2G;CAMK2G;CAMK2G;CAMK2G;CAMK2G,Body;Body;Body;Body;Body,chr10:75599260-75599488,Island,NA,Unclassified_Cell_type_specific
cg25923609,-0.595919033,5.11E-06,0.010443781,5,NA,,,chr5:3606488-3607135,Island,NA,
cg06399164,-0.32213371,5.12E-06,0.010443781,3,NA,ZBTB47,TSS200,chr3:42695528-42696575,N_Shore,NA,
cg14600600,0.516068025,5.24E-06,0.010613974,9,NA,,,chr9:5185333-5185780,S_Shelf,NA,
cg08072980,0.488356324,5.35E-06,0.010776522,7,NA,IKZF1,Body,,,NA,
cg23465426,0.506012162,5.39E-06,0.010776522,6,NA,PPP1R2P1,Body,chr6:32847498-32847846,N_Shore,NA,
cg10029411,0.430197605,5.40E-06,0.010776522,13,TRUE,FAM10A4,Body,,,NA,
cg04553623,-0.294594878,5.50E-06,0.010918057,21,NA,COL18A1;COL18A1;COL18A1,Body;Body;Body,chr21:46912381-46912628,N_Shelf,TRUE,
cg20178172,0.52429138,5.61E-06,0.01102169,6,NA,IER3;FLOT1,3'UTR;TSS1500,chr6:30710307-30712440,Island,NA,Promoter_Associated
cg13345353,0.291659882,5.62E-06,0.01102169,2,NA,GAL3ST2,TSS1500,chr2:242710637-242711047,S_Shelf,NA,Unclassified_Cell_type_specific
cg27574980,0.343409695,5.68E-06,0.01102169,6,NA,C6orf27,5'UTR,,,TRUE,
cg13453711,0.442247419,5.68E-06,0.01102169,1,NA,PPP2R5A,Body,,,NA,
cg04924415,-0.40745888,5.69E-06,0.01102169,12,NA,SCYL2;DEPDC4,TSS200;TSS1500,chr12:100660748-100661646,Island,NA,Promoter_Associated
cg13731777,-0.566619892,5.73E-06,0.011034069,10,NA,,,,,TRUE,
cg11617843,0.532780664,5.76E-06,0.011042408,5,NA,RASGEF1C,5'UTR,,,TRUE,
cg20227886,-0.4552009,5.94E-06,0.011195194,18,NA,ME2;ME2,TSS200;TSS200,chr18:48405135-48405983,Island,NA,Promoter_Associated
cg15796818,0.694676445,5.97E-06,0.011195194,2,NA,PXDN,Body,,,NA,
cg20762182,0.607603747,5.98E-06,0.011195194,15,NA,KIF23;KIF23,Body;Body,,,NA,
cg26090107,0.511732223,6.00E-06,0.011195194,11,NA,SLC15A3;SLC15A3,1stExon;Body,chr11:60718428-60718888,Island,TRUE,Unclassified
cg11855759,-0.271553851,6.02E-06,0.011195194,17,NA,USP43,TSS200,chr17:9548389-9549616,Island,NA,Unclassified
cg25739137,-0.356877724,6.05E-06,0.011195194,3,NA,EIF2B5,TSS1500,chr3:183852778-183853386,N_Shore,NA,
cg15385479,-0.664869607,6.10E-06,0.011195194,11,NA,MRGPRE,TSS1500,chr11:3254239-3254476,Island,NA,
cg05492845,-0.275220554,6.11E-06,0.011195194,11,TRUE,VEGFB;VEGFB,5'UTR;1stExon,chr11:64001572-64002712,Island,NA,Unclassified
cg21944749,-0.382971975,6.12E-06,0.011195194,1,NA,NUAK2;NUAK2,1stExon;5'UTR,chr1:205290232-205291035,Island,NA,Promoter_Associated
