Location,Gene Symbol,Distance from Gene(s),Direction,Methylation Percentage,Number of CpGs,P-value,FWER,Flagged
Chr1:89664297-89664408,GBP4,In Gene,↑,8.92%,6,1.36E-03,0.998,1
Chr7:765860-765969,PRKAR1B,In Gene,↓,9.89%,4,1.41E-03,0.999,1
Chr13:110982586-110982680,COL4A2,In Gene,↓,8.23%,7,1.43E-03,1,0
Chr2:127822552-127822645,BIN1,In Gene,↓,8.84%,6,1.44E-03,0.999,0
Chr16:53407585-53407661,CHD9,44523,↑,8.18%,7,1.46E-03,1,0
Chr9:470637-470662,KANK1,In Gene,↓,9.80%,4,1.52E-03,0.999,1
Chr9:133783720-133783803,FIBCD1,In Gene,↑,9.76%,4,1.56E-03,0.999,1
Chr2:47232171-47232307,TTC7A,In Gene,↓,9.21%,5,1.58E-03,0.999,0
Chr7:1094261-1094346,"C7orf50, GPR146",In Gene,↓,8.68%,6,1.59E-03,0.999,0
Chr15:93609537-93609552,RGMA,In Gene,↓,10.38%,3,1.64E-03,0.998,1
Chr1:61553864-61553959,NFIA,In Gene,↓,9.69%,4,1.65E-03,0.999,1
Chr13:20751680-20751746,GJB2,9863,↑,7.78%,7,1.69E-03,1,0
Chr22:50686403-50686438,"HDAC10, MAPK12",In Gene,↓,9.64%,4,1.71E-03,1,1
Chr19:51506139-51506179,KLK9,In Gene,↑,9.08%,5,1.73E-03,0.999,1
Chr5:191803-191809,LRRC14B,In Gene,↑,9.61%,4,1.77E-03,1,0
Chr22:37493833-37494118,TMPRSS6,In Gene,↑,9.05%,5,1.78E-03,0.999,1
Chr1:1289796-1289849,MXRA8,In Gene,↓,9.03%,5,1.80E-03,0.999,1
Chr6:32608880-32609182,"HLA-DQA1, HLA-DQB1",In Gene,↓,10.25%,3,1.83E-03,0.998,1
Chr5:136833334-136833356,SPOCK1,In Gene,↓,10.24%,3,1.84E-03,0.998,1
Chr7:138348978-138348982,SVOPL,In Gene,↓,10.17%,3,1.95E-03,0.998,0
Chr22:46472546-46472609,MIR3619,14315,↓,7.02%,7,1.96E-03,1,0
Chr4:3827943-3827973,ADRA2C,57692,↓,9.41%,4,2.07E-03,1,1
Chr4:3039110-3039148,GRK4,In Gene,↓,9.36%,4,2.18E-03,1,1
Chr19:54057917-54057944,ZNF331,In Gene,↑,8.75%,5,2.19E-03,1,0
Chr16:87368206-87368247,FBXO31,In Gene,↓,9.33%,4,2.24E-03,1,0
Chr22:28195231-28195283,MN1,In Gene,↓,9.99%,3,2.28E-03,0.999,0
Chr11:7110207-7110235,RBMXL2,In Gene,↑,8.68%,5,2.30E-03,1,1
Chr15:29033803-29033887,WHAMMP2,31266,↓,8.67%,5,2.31E-03,1,1
Chr13:107569396-107569427,LINC00443,244885,↑,9.25%,4,2.38E-03,1,0
Chr7:1363207-1363292,UNCX,86253,↑,7.86%,6,2.43E-03,1,0
Chr6:170468074-170468120,DLL1,123174,↓,8.59%,5,2.44E-03,1,1
Chr13:112708665-112708736,SOX1,13177,↓,7.81%,6,2.48E-03,1,1
Chr21:47582209-47582279,SPATC1L,In Gene,↓,8.56%,5,2.49E-03,1,1
Chr7:140135584-140135604,RAB19,9534,↑,8.46%,5,2.66E-03,1,1
Chr20:9497218-9497299,LAMP5,In Gene,↑,8.45%,5,2.69E-03,1,1
Chr10:120788354-120788446,NANOS1,782,↓,7.55%,6,2.70E-03,1,0
Chr1:565662-565821,OR4F16,55238,↓,8.43%,5,2.71E-03,1,1
Chr7:158110663-158110694,PTPRN2,In Gene,↓,8.43%,5,2.72E-03,1,0
Chr2:236826535-236826543,AGAP1,In Gene,↓,9.77%,3,2.75E-03,1,0
Chr7:158750418-158750491,WDR60,980,↑,7.48%,6,2.75E-03,1,1
Chr2:43266755-43266804,THADA,126996,↑,9.05%,4,2.79E-03,1,1
Chr16:858184-858434,PRR25,In Gene,↑,8.38%,5,2.81E-03,1,0
Chr20:57415238-57415254,"GNAS, GNAS-AS1",In Gene,↓,9.01%,4,2.89E-03,1,0
Chr2:105484677-105484717,LINC01159,In Gene,↓,8.98%,4,2.95E-03,1,1
Chr13:112715673-112715721,SOX1,6192,↑,8.95%,4,3.02E-03,1,0
Chr1:161575625-161575717,"FCGR2B, FCGR3A",In Gene,↑,6.89%,6,3.03E-03,1,0
Chr7:129781104-129781153,KLHDC10,5544,↑,8.19%,5,3.14E-03,1,1
Chr11:287912-287932,ATHL1,1203,↓,9.58%,3,3.23E-03,1,0
Chr21:40757933-40757980,WRB,In Gene,↑,8.85%,4,3.27E-03,1,1
Chr10:133484909-133484937,PPP2R2D,263018,↓,9.53%,3,3.37E-03,1,1
Chr13:113708406-113708530,MCF2L,In Gene,↓,7.99%,5,3.50E-03,1,1
Chr15:40364646-40364658,SRP14-AS1,5155,↑,8.75%,4,3.52E-03,1,0
Chr15:41100359-41100415,ZFYVE19,In Gene,↑,7.90%,5,3.67E-03,1,1
Chr11:112752424-112752485,NCAM1,79512,↓,7.89%,5,3.68E-03,1,1
Chr9:38487840-38487895,ANKRD18A,52671,↑,7.86%,5,3.73E-03,1,1
Chr7:155006206-155006231,INSIG1,83255,↓,9.41%,3,3.75E-03,1,0
Chr2:36824228-36824260,FEZ2,In Gene,↓,9.41%,3,3.76E-03,1,0
Chr13:107568873-107568938,LINC00443,244362,↑,8.58%,4,4.02E-03,1,0
Chr11:64624026-64624164,EHD1,In Gene,↑,7.70%,5,4.02E-03,1,0
Chr20:57429638-57429665,GNAS,In Gene,↓,7.55%,5,4.25E-03,1,1
Chr6:29648844-29649025,ZFP57,In Gene,↑,7.51%,5,4.32E-03,1,1
Chr9:6716295-6716325,KDM4C,4538,↑,8.46%,4,4.37E-03,1,0
Chr17:80183483-80183502,SLC16A3,2771,↑,9.20%,3,4.49E-03,1,0
Chr18:712999-713050,ENOSF1,323,↑,7.37%,5,4.53E-03,1,0
Chr15:31599093-31599117,KLF13,19941,↓,7.35%,5,4.55E-03,1,0
Chr2:236619341-236619446,AGAP1,In Gene,↑,7.33%,5,4.57E-03,1,0
Chr16:31488135-31488144,TGFB1I1,In Gene,↓,9.17%,3,4.62E-03,1,0
Chr17:656495-656546,"DBIL5P, GEMIN4",In Gene,↑,7.28%,5,4.64E-03,1,0
Chr6:161796858-161796919,PARK2,In Gene,↑,7.27%,5,4.65E-03,1,1
Chr2:69001855-69001935,ARHGAP25,In Gene,↑,8.35%,4,4.73E-03,1,1
Chr10:134549801-134549817,INPP5A,In Gene,↑,8.34%,4,4.76E-03,1,0
Chr16:3493682-3493715,NAA60,In Gene,↓,7.09%,5,4.84E-03,1,1
Chr9:133319758-133319773,HMCN2,In Gene,↓,8.31%,4,4.86E-03,1,1
Chr4:1303926-1304049,MAEA,In Gene,↓,7.07%,5,4.86E-03,1,0
Chr22:28194115-28194123,MN1,In Gene,↓,9.11%,3,4.89E-03,1,1
Chr16:5967273-5967335,RBFOX1,101760,↓,9.10%,3,4.91E-03,1,1
Chr20:57416156-57416171,"GNAS, GNAS-AS1",In Gene,↓,6.93%,5,4.97E-03,1,0
Chr17:62774368-62774416,PLEKHM1P,961,↓,6.90%,5,4.98E-03,1,0
Chr2:162284461-162284510,SLC4A10,In Gene,↑,8.20%,4,5.24E-03,1,1
Chr17:45401741-45401789,"EFCAB13, ITGB3",In Gene,↑,8.20%,4,5.26E-03,1,1
Chr6:148869533-148869553,SASH1,In Gene,↑,8.20%,4,5.26E-03,1,1
Chr7:140048487-140048616,SLC37A3,In Gene,↓,8.18%,4,5.32E-03,1,0
Chr8:58054994-58055040,LINC00588,137062,↑,8.17%,4,5.33E-03,1,0
Chr20:49620448-49620492,KCNG1,In Gene,↓,8.17%,4,5.35E-03,1,1
Chr13:25670025-25670052,PABPC3,248,↑,8.14%,4,5.44E-03,1,0
Chr16:55866649-55866679,CES1,In Gene,↓,8.05%,4,5.80E-03,1,0
Chr9:38487906-38487945,ANKRD18A,52621,↑,8.90%,3,5.84E-03,1,1
Chr1:156646066-156646111,NES,In Gene,↓,8.03%,4,5.85E-03,1,0
Chr8:11057266-11057293,XKR6,In Gene,↓,8.89%,3,5.89E-03,1,0
Chr4:155411062-155411074,DCHS2,In Gene,↓,8.88%,3,5.95E-03,1,0
Chr7:73119079-73119168,"STX1A, WBSCR22",In Gene,↓,8.00%,4,5.97E-03,1,0
Chr13:113436652-113436692,ATP11A,In Gene,↓,8.85%,3,6.06E-03,1,1
Chr16:85458329-85458354,MIR5093,118398,↑,7.96%,4,6.12E-03,1,0
Chr20:61660266-61660276,LINC00029,5293,↓,8.83%,3,6.19E-03,1,1
Chr11:6592400-6592415,DNHD1,In Gene,↓,7.94%,4,6.19E-03,1,1
Chr12:133021660-133021714,FBRSL1,44423,↓,7.93%,4,6.22E-03,1,0
Chr7:156400116-156400132,LINC01006,In Gene,↑,7.92%,4,6.25E-03,1,1
Chr2:2653017-2653037,MYT1L,317985,↓,7.90%,4,6.32E-03,1,1
Chr2:242844165-242844198,PDCD1,43105,↑,7.89%,4,6.36E-03,1,1
Chr16:83987540-83987577,OSGIN1,In Gene,↓,7.82%,4,6.63E-03,1,0
Chr20:61431851-61431881,MRGBP,In Gene,↓,7.81%,4,6.67E-03,1,1
Chr8:10907786-10907797,XKR6,In Gene,↑,7.79%,4,6.74E-03,1,0
Chr2:2773580-2773602,TSSC1,419094,↑,8.72%,3,6.81E-03,1,0
Chr19:681347-681370,FSTL3,In Gene,↓,7.77%,4,6.82E-03,1,0
Chr1:31673096-31673131,NKAIN1,In Gene,↓,8.72%,3,6.82E-03,1,0
Chr17:80401694-80401714,C17orf62,In Gene,↑,8.68%,3,7.01E-03,1,0
Chr5:179740955-179740970,GFPT2,In Gene,↑,7.72%,4,7.01E-03,1,1
Chr14:77492201-77492226,IRF2BPL,In Gene,↑,8.67%,3,7.10E-03,1,1
Chr2:1801870-1801924,MYT1L,In Gene,↓,8.66%,3,7.12E-03,1,0
Chr14:74709826-74709940,VSX2,In Gene,↑,8.64%,3,7.26E-03,1,1
Chr12:14109186-14109216,GRIN2B,In Gene,↓,7.64%,4,7.27E-03,1,0
Chr12:124780979-124781052,FAM101A,In Gene,↑,7.64%,4,7.30E-03,1,0
Chr1:3144532-3144548,PRDM16,In Gene,↑,8.62%,3,7.41E-03,1,0
Chr16:28331646-28331667,SBK1,In Gene,↑,7.59%,4,7.48E-03,1,1
Chr14:91022381-91022404,TTC7B,In Gene,↑,7.58%,4,7.52E-03,1,1
Chr2:231855327-231855344,SPATA3-AS1,In Gene,↑,7.56%,4,7.58E-03,1,0
Chr15:41219060-41219077,DLL4,2461,↑,7.55%,4,7.62E-03,1,1
Chr2:242787185-242787208,PDCD1,4825,↓,7.53%,4,7.70E-03,1,0
Chr14:23623729-23623775,SLC7A8,In Gene,↓,7.52%,4,7.73E-03,1,0
Chr7:39170487-39170516,POU6F2,In Gene,↓,7.50%,4,7.79E-03,1,1
Chr13:21010004-21010040,CRYL1,In Gene,↓,8.55%,3,7.79E-03,1,0
Chr12:131303302-131303318,STX2,In Gene,↓,7.50%,4,7.81E-03,1,0
Chr10:114713209-114713233,TCF7L2,In Gene,↓,8.55%,3,7.82E-03,1,1
Chr6:37461238-37461254,CCDC167,In Gene,↑,7.49%,4,7.83E-03,1,1
Chr19:36351476-36351506,"KIRREL2, NPHS1",In Gene,↓,7.49%,4,7.85E-03,1,1
Chr5:53829889-53829958,SNX18,In Gene,↓,8.54%,3,7.86E-03,1,0
Chr20:9497150-9497202,LAMP5,In Gene,↑,7.47%,4,7.90E-03,1,0
Chr16:89059482-89059508,CBFA2T3,15870,↓,8.51%,3,8.04E-03,1,0
Chr17:4804565-4804611,"C17orf107, CHRNE",In Gene,↓,8.51%,3,8.08E-03,1,0
Chr11:112752624-112752713,NCAM1,79284,↓,8.51%,3,8.11E-03,1,0
Chr16:86965238-86965286,C16orf95,151882,↓,7.40%,4,8.15E-03,1,0
Chr3:147098396-147098451,ZIC4,5382,↓,7.39%,4,8.17E-03,1,1
Chr11:67219677-67219737,GPR152,In Gene,↓,7.36%,4,8.28E-03,1,0
Chr3:178276673-178276742,KCNMB2,In Gene,↑,7.34%,4,8.34E-03,1,0
Chr21:46340932-46341010,ITGB2,In Gene,↑,7.31%,4,8.43E-03,1,0
Chr10:131697284-131697303,EBF3,In Gene,↓,8.45%,3,8.48E-03,1,0
Chr11:7110249-7110273,RBMXL2,In Gene,↑,8.45%,3,8.49E-03,1,1
Chr19:49686059-49686078,TRPM4,In Gene,↑,8.44%,3,8.57E-03,1,0
Chr8:58055472-58055487,LINC00588,136615,↑,7.24%,4,8.64E-03,1,1
Chr15:101604191-101604266,LRRK1,In Gene,↓,7.24%,4,8.65E-03,1,1
Chr20:57431094-57431135,GNAS,In Gene,↓,7.21%,4,8.72E-03,1,0
Chr11:31826647-31826656,PAX6,In Gene,↑,7.20%,4,8.75E-03,1,1
Chr4:7287643-7287675,SORCS2,In Gene,↓,8.39%,3,8.88E-03,1,1
Chr11:6677920-6678003,DCHS1,835,↓,8.38%,3,8.98E-03,1,0
Chr3:147077260-147077282,ZIC4,26551,↓,7.11%,4,9.02E-03,1,0
Chr11:45882529-45882559,CRY2,In Gene,↑,7.11%,4,9.02E-03,1,0
Chr17:46628011-46628024,"HOXB-AS1, HOXB-AS3, HOXB3",In Gene,↓,7.10%,4,9.03E-03,1,0
Chr16:67440206-67440237,ZDHHC1,In Gene,↓,8.36%,3,9.13E-03,1,0
Chr9:130955486-130955498,CIZ1,In Gene,↑,7.03%,4,9.20E-03,1,0
Chr4:188917918-188918083,ZFP42,In Gene,↓,7.03%,4,9.21E-03,1,1
Chr8:143086348-143086460,MIR4472-1,171240,↓,7.01%,4,9.26E-03,1,0
Chr17:63550744-63550798,AXIN2,In Gene,↓,7.01%,4,9.26E-03,1,0
Chr22:32600218-32600275,RFPL2,In Gene,↑,7.00%,4,9.27E-03,1,0
Chr2:171676591-171676621,GAD1,In Gene,↑,6.98%,4,9.31E-03,1,0
Chr2:8343716-8343749,"LINC00298, LINC00299",In Gene,↓,8.33%,3,9.34E-03,1,0
Chr3:13522798-13522811,HDAC11,In Gene,↓,6.96%,4,9.35E-03,1,0
Chr20:3731023-3731033,HSPA12B,In Gene,↑,8.31%,3,9.48E-03,1,1
Chr9:88137895-88137922,AGTPBP1,23533,↓,6.89%,4,9.48E-03,1,1
Chr16:731370-731429,STUB1,In Gene,↓,6.85%,4,9.55E-03,1,0
Chr8:1012446-1012488,ERICH1-AS1,In Gene,↓,6.83%,4,9.59E-03,1,0
Chr20:57427104-57427147,GNAS,In Gene,↑,6.80%,4,9.63E-03,1,0
Chr2:8499988-8500034,LINC00299,In Gene,↓,6.76%,4,9.67E-03,1,1
Chr7:22767198-22767230,IL6,In Gene,↑,6.75%,4,9.68E-03,1,0
Chr1:1859708-1859774,TMEM52,8996,↓,8.28%,3,9.72E-03,1,0
Chr8:145748680-145748735,"LRRC14, LRRC24",In Gene,↓,6.72%,4,9.73E-03,1,0
Chr16:46919487-46919566,GPT2,In Gene,↓,6.63%,4,9.80E-03,1,1
Chr7:948920-948948,"ADAP1, COX19",In Gene,↑,6.62%,4,9.81E-03,1,1
Chr3:184474995-184475007,MAGEF1,45159,↑,6.62%,4,9.81E-03,1,0
Chr7:154958600-154958641,HTR5A,81141,↓,8.27%,3,9.82E-03,1,0
Chr19:5138007-5138025,KDM4B,In Gene,↑,6.59%,4,9.83E-03,1,1
Chr7:75779443-75779477,SRRM3,27199,↓,6.56%,4,9.85E-03,1,0
Chr2:172945089-172945099,METAP1D,In Gene,↑,8.25%,3,9.91E-03,1,0
Chr2:238380310-238380391,MLPH,13680,↑,8.24%,3,0.01,1,0
Chr7:948733-948750,"ADAP1, COX19",In Gene,↑,8.23%,3,0.0101,1,0
Chr14:104185209-104185221,ZFYVE21,In Gene,↑,8.21%,3,0.0102,1,0
Chr1:234667311-234667359,TARBP1,52462,↑,8.20%,3,0.0104,1,1
Chr7:50632042-50632079,DDC,In Gene,↓,8.19%,3,0.0104,1,0
Chr1:17215489-17215512,CROCC,In Gene,↓,8.19%,3,0.0104,1,0
Chr10:88204786-88204799,WAPAL,In Gene,↓,8.18%,3,0.0105,1,1
Chr19:5093492-5093501,KDM4B,In Gene,↓,8.17%,3,0.0106,1,0
Chr12:131190094-131190139,RIMBP2,In Gene,↓,8.14%,3,0.0108,1,0
Chr1:19111096-19111123,PAX7,35736,↑,8.10%,3,0.0111,1,1
Chr4:26361219-26361226,RBPJ,In Gene,↓,8.10%,3,0.0112,1,1
Chr7:158750531-158750586,WDR60,1093,↑,8.09%,3,0.0112,1,1
Chr11:60535072-60535096,MS4A15,In Gene,↓,8.09%,3,0.0113,1,1
Chr1:228463251-228463267,OBSCN,In Gene,↓,8.08%,3,0.0113,1,1
Chr11:615628-615643,IRF7,In Gene,↓,8.08%,3,0.0113,1,1
Chr7:130132361-130132382,MEST,In Gene,↑,8.06%,3,0.0115,1,0
Chr20:2360631-2360688,TGM6,866,↓,8.03%,3,0.0117,1,0
Chr12:2800516-2800523,CACNA1C,In Gene,↓,8.02%,3,0.0118,1,0
Chr6:30038911-30038923,RNF39,In Gene,↓,7.99%,3,0.0121,1,0
Chr4:4866384-4866440,MSX1,721,↑,7.96%,3,0.0123,1,0
Chr5:31755283-31755350,PDZD2,In Gene,↓,7.95%,3,0.0124,1,1
Chr2:220406811-220406824,CHPF,In Gene,↑,7.94%,3,0.0124,1,1
Chr17:75523159-75523171,9-Sep,14859,↓,7.93%,3,0.0126,1,1
Chr17:38517944-38517992,GJD3,In Gene,↑,7.93%,3,0.0126,1,0
Chr20:25039813-25039985,ACSS1,197,↓,7.93%,3,0.0126,1,0
Chr1:239883414-239883470,"CHRM3, CHRM3-AS2",In Gene,↓,7.91%,3,0.0128,1,0
Chr2:1801693-1801827,MYT1L,In Gene,↓,7.90%,3,0.0129,1,1
Chr4:7129500-7129514,GRPEL1,59576,↓,7.89%,3,0.0129,1,1
Chr6:26382693-26382762,BTN2A2,562,↑,7.85%,3,0.0133,1,1
Chr12:106974430-106974508,RFX4,2177,↑,7.84%,3,0.0134,1,0
Chr7:47375873-47375980,TNS3,In Gene,↑,7.83%,3,0.0135,1,0
Chr4:4866461-4866468,MSX1,798,↑,7.82%,3,0.0135,1,0
Chr11:353887-353912,B4GALNT4,15884,↓,7.80%,3,0.0137,1,1
Chr7:156836750-156836774,MNX1-AS1,27630,↓,7.80%,3,0.0137,1,0
Chr5:172097116-172097130,NEURL1B,In Gene,↑,7.80%,3,0.0138,1,1
Chr16:1037026-1037061,SOX8,47,↓,7.79%,3,0.0138,1,0
Chr4:122854142-122854169,TRPC3,In Gene,↓,7.79%,3,0.0139,1,0
ChrX:90690776-90690786,PABPC5,In Gene,↓,7.78%,3,0.0139,1,0
Chr17:3771419-3771446,CAMKK1,In Gene,↓,7.77%,3,0.014,1,0
Chr20:20346081-20346093,INSM1,2672,↑,7.77%,3,0.014,1,0
Chr19:2273173-2273190,OAZ1,In Gene,↓,7.76%,3,0.0141,1,0
Chr6:170467412-170467426,DLL1,123868,↓,7.75%,3,0.0142,1,0
Chr21:34401928-34401954,OLIG2,424,↓,7.74%,3,0.0143,1,0
Chr11:66062450-66062468,TMEM151A,In Gene,↓,7.73%,3,0.0144,1,1
Chr18:77918047-77918074,PARD6G,In Gene,↑,7.71%,3,0.0146,1,1
Chr7:39171047-39171071,POU6F2,In Gene,↓,7.70%,3,0.0147,1,1
Chr8:143259105-143259127,MIR4472-1,1326,↑,7.66%,3,0.015,1,0
Chr9:126779230-126779286,LHX2,In Gene,↓,7.66%,3,0.0151,1,1
Chr19:31845427-31845538,TSHZ3,4974,↓,7.66%,3,0.0151,1,1
Chr6:42335155-42335232,TRERF1,In Gene,↑,7.64%,3,0.0152,1,0
Chr2:239048353-239048357,KLHL30,In Gene,↓,7.64%,3,0.0152,1,0
Chr9:139916810-139916824,ABCA2,In Gene,↓,7.63%,3,0.0153,1,1
Chr8:92988171-92988198,RUNX1T1,In Gene,↓,7.63%,3,0.0154,1,1
Chr12:117316323-117316406,HRK,In Gene,↑,7.61%,3,0.0155,1,0
Chr11:70824310-70824343,SHANK2,In Gene,↓,7.61%,3,0.0155,1,1
Chr21:44876671-44876688,LINC00319,2898,↓,7.60%,3,0.0156,1,0
Chr17:64361850-64361912,PRKCA,In Gene,↓,7.59%,3,0.0157,1,1
Chr4:996187-996212,IDUA,In Gene,↓,7.59%,3,0.0158,1,0
Chr21:43528206-43528245,"C21orf128, UMODL1",In Gene,↓,7.58%,3,0.0158,1,1
Chr2:2652939-2652957,MYT1L,317907,↓,7.58%,3,0.0159,1,1
Chr17:30822953-30822978,MYO1D,In Gene,↓,7.57%,3,0.0159,1,0
Chr19:36246907-36247013,HSPB6,In Gene,↓,7.55%,3,0.0161,1,0
Chr3:129311683-129311699,PLXND1,In Gene,↑,7.53%,3,0.0163,1,1
Chr5:140769381-140769390,"PCDHGA1, PCDHGA2, PCDHGA3, PCDHGA4, PCDHGA5, PCDHGA6, PCDHGA7, PCDHGB1, PCDHGB2, PCDHGB3, PCDHGB4",In Gene,↓,7.53%,3,0.0164,1,0
Chr13:110522150-110522174,IRS2,83235,↓,7.51%,3,0.0165,1,1
Chr16:1037123-1037135,SOX8,144,↓,7.50%,3,0.0166,1,1
Chr10:88023051-88023058,GRID1,In Gene,↑,7.49%,3,0.0167,1,0
Chr1:41898279-41898322,EDN2,46124,↑,7.49%,3,0.0167,1,0
Chr6:25882374-25882382,SLC17A3,In Gene,↓,7.48%,3,0.0168,1,1
Chr10:19777896-19777931,MALRD1,In Gene,↑,7.47%,3,0.0169,1,0
Chr16:936994-937008,LMF1,In Gene,↑,7.46%,3,0.017,1,1
Chr3:44106938-44106958,MIR138-1,48746,↓,7.46%,3,0.017,1,0
Chr1:161575748-161575779,"FCGR2B, FCGR3A",In Gene,↑,7.45%,3,0.0171,1,0
Chr6:88757333-88757407,SPACA1,100,↑,7.43%,3,0.0172,1,1
Chr4:185189223-185189257,ENPP6,46840,↓,7.43%,3,0.0172,1,1
Chr17:27900221-27900264,TP53I13,46,↓,7.43%,3,0.0172,1,0
Chr10:118923182-118923209,MIR3663,3980,↓,7.42%,3,0.0174,1,1
Chr2:66667901-66667933,MEIS1,In Gene,↑,7.42%,3,0.0174,1,0
Chr13:50707700-50707715,DLEU1,In Gene,↑,7.41%,3,0.0174,1,1
Chr19:36643331-36643362,COX7A1,In Gene,↑,7.39%,3,0.0176,1,1
Chr7:1553172-1553197,INTS1,7683,↓,7.39%,3,0.0177,1,0
Chr2:118617106-118617117,DDX18,27151,↑,7.39%,3,0.0177,1,1
Chr8:987121-987163,ERICH1-AS1,In Gene,↓,7.38%,3,0.0177,1,1
Chr2:74668217-74668230,RTKN,In Gene,↓,7.38%,3,0.0177,1,0
Chr16:3068438-3068476,CLDN6,In Gene,↓,7.38%,3,0.0177,1,1
