Gene Symbol,Differential Expression,Whole-Gene ID,Chromosome,Genomic Coordinates,Whole Gene P-value,Whole Gene Correlation with LSI,Isoform ID,Isoform P-value,Isoform Correlation with LSI,Known Stress Gene?
KIAA0907,Isoform-Only,ENST00000368321.3,chr1,155882834-155904188,NA,NA,ENST00000368321.3,0.02446408,-0.5003107,FALSE
SEMA4A,Isoform-Only,ENST00000368284.1,chr1,156123369-156147534,NA,NA,ENST00000368284.1,0.047268425,0.43812,TRUE
APOA1BP,Whole-Gene-Only,ENSG00000163382.7,chr1,156561554-156564091,0.046715434,-0.359705,NA,NA,NA,FALSE
RRNAD1,Whole-Gene-Only,ENSG00000143303.7,chr1,156698234-156706752,0.009555536,0.6607085,NA,NA,NA,FALSE
MNDA,Whole-Gene-Only,ENSG00000163563.7,chr1,158801107-158819296,0.044797198,0.4945903,NA,NA,NA,FALSE
DDI2,Both,ENSG00000197312.7,chr1,15943995-15995539,0.029715007,-0.526372,ENST00000480945.1,0.043468721,-0.5381113,FALSE
SLAMF8,Both,ENSG00000158714.6,chr1,159796540-159807039,0.012773897,-0.5253597,ENST00000289707.5,0.042164819,-0.4548617,FALSE
TAGLN2,Both,ENSG00000158710.10,chr1,159887897-159895522,0.040010193,0.4893812,ENST00000478033.1,0.005465812,0.622453,FALSE
RP11-48O20.4,Isoform-Only,ENST00000423943.1,chr1,159931014-159948851,NA,NA,ENST00000423943.1,0.036904234,-0.4799642,FALSE
SLAMF1,Isoform-Only,ENST00000235739.5,chr1,160579892-160617081,NA,NA,ENST00000235739.5,0.020613402,-0.5429176,FALSE
SLAMF7,Both,ENSG00000026751.12,chr1,160709037-160724611,0.011658906,-0.5076911,ENST00000368042.3,0.017807141,-0.4135579,FALSE
SLAMF7,Both,ENSG00000026751.12,chr1,160709037-160724611,0.011658906,-0.5076911,ENST00000484221.1,0.018344058,-0.532145,FALSE
SDHC,Isoform-Only,ENST00000367975.2,chr1,161284047-161332984,NA,NA,ENST00000367975.2,0.004749962,-0.5507538,TRUE
FCGR2A,Isoform-Only,ENST00000486608.1,chr1,161484410-161488393,NA,NA,ENST00000486608.1,0.042962899,0.5183024,FALSE
FCGR2B,Isoform-Only,ENST00000403078.3,chr1,161551101-161648440,NA,NA,ENST00000403078.3,0.003857497,-0.6175389,FALSE
OLFML2B,Isoform-Only,ENST00000294794.3,chr1,161952982-161993644,NA,NA,ENST00000294794.3,0.006548005,-0.5567028,FALSE
CDK11A,Isoform-Only,ENST00000356200.3,chr1,1634169-1654270,NA,NA,ENST00000356200.3,0.022877471,0.5102267,FALSE
EPHA2,Both,ENSG00000142627.9,chr1,16450832-16482582,0.039371157,-0.4821628,ENST00000358432.5,0.047570378,-0.5016104,TRUE
PBX1,Isoform-Only,ENST00000420696.2,chr1,164528872-164821068,NA,NA,ENST00000420696.2,0.036332096,-0.4833418,TRUE
RPL4P2,Both,ENSG00000232341.2,chr1,166716616-166717897,0.015174395,-0.5378533,ENST00000447259.2,0.022590243,-0.5268197,FALSE
MPC2,Whole-Gene-Only,ENSG00000143158.6,chr1,167885967-167906278,0.044042696,0.5129329,NA,NA,NA,FALSE
C1orf112,Whole-Gene-Only,ENSG00000000460.12,chr1,169631245-169823221,0.044261306,-0.4637425,NA,NA,NA,FALSE
FMO2,Isoform-Only,ENST00000209929.7,chr1,171154347-171180369,NA,NA,ENST00000209929.7,0.032125091,-0.5317032,FALSE
PADI3,Both,ENSG00000142619.4,chr1,17575593-17610728,0.020406875,-0.4946206,ENST00000375460.3,0.018781112,-0.5198902,FALSE
RASAL2,Isoform-Only,ENST00000433130.2,chr1,178421572-178442657,NA,NA,ENST00000433130.2,0.041852686,-0.454913,TRUE
TOR3A,Isoform-Only,ENST00000367627.3,chr1,179050512-179065131,NA,NA,ENST00000367627.3,0.04498189,-0.6105241,FALSE
RP5-1180C10.2,Both,ENSG00000230124.2,chr1,180238788-180245359,0.011618808,0.5498,ENST00000415414.1,0.023662836,0.5330004,FALSE
RP11-309G3.3,Both,ENSG00000272198.1,chr1,181060245-181062035,0.006438509,-0.5743067,ENST00000606938.1,0.009740053,-0.5801489,FALSE
C1orf21,Whole-Gene-Only,ENSG00000116667.8,chr1,184356192-184598154,0.018163164,-0.479672,NA,NA,NA,FALSE
PRG4,Whole-Gene-Only,ENSG00000116690.7,chr1,186265405-186283694,0.049385474,0.4292297,NA,NA,NA,FALSE
PTGS2,Both,ENSG00000073756.7,chr1,186640923-186649559,0.010188528,0.5450183,ENST00000367468.5,0.026499886,0.5273544,FALSE
PTGS2,Both,ENSG00000073756.7,chr1,186640923-186649559,0.010188528,0.5450183,ENST00000466691.1,0.026027972,0.5249457,FALSE
PTGS2,Both,ENSG00000073756.7,chr1,186640923-186649559,0.010188528,0.5450183,ENST00000490885.2,0.022097144,0.4902661,FALSE
RGS18,Whole-Gene-Only,ENSG00000150681.5,chr1,192127587-192154945,0.049254957,0.4417121,NA,NA,NA,FALSE
IFFO2,Both,ENSG00000169991.6,chr1,19230775-19283180,0.018436696,-0.5498845,ENST00000455833.2,0.015712066,-0.5798843,FALSE
RGS2,Both,ENSG00000116741.6,chr1,192778169-192781403,0.025735918,0.5022541,ENST00000464302.1,0.015283827,0.5989596,TRUE
RGS2,Both,ENSG00000116741.6,chr1,192778169-192781403,0.025735918,0.5022541,ENST00000483295.1,0.029228341,0.5228301,TRUE
MRTO4,Both,ENSG00000053372.4,chr1,19578033-19586622,0.022431914,-0.5214043,ENST00000330263.4,0.046777697,-0.5019854,FALSE
C1orf106,Isoform-Only,ENST00000367342.4,chr1,200860469-200884863,NA,NA,ENST00000367342.4,0.03561225,-0.4759274,FALSE
CSRP1,Both,ENSG00000159176.9,chr1,201452658-201478584,0.034185388,-0.4995989,ENST00000340006.2,0.045125167,-0.511688,TRUE
ELF3,Both,ENSG00000163435.11,chr1,201977073-201986316,0.028395311,-0.5101359,ENST00000475698.1,0.027947471,-0.5461539,TRUE
BTG2,Whole-Gene-Only,ENSG00000159388.5,chr1,203274619-203278730,0.032406542,0.5472771,NA,NA,NA,FALSE
PLEKHA6,Both,ENSG00000143850.8,chr1,204187979-204346793,0.010981119,-0.6100755,ENST00000272203.3,0.01968871,-0.5946413,FALSE
LRRN2,Both,ENSG00000170382.7,chr1,204586298-204654861,0.011605106,0.5398164,ENST00000367175.1,0.019602601,0.533422,FALSE
NUAK2,Both,ENSG00000163545.7,chr1,205271187-205290883,0.0113305,0.5962347,ENST00000367157.3,0.025181706,0.5981713,TRUE
C1orf116,Both,ENSG00000182795.12,chr1,207191866-207206101,0.029241944,-0.4993975,ENST00000359470.5,0.029339198,-0.5235656,FALSE
C4BPB,Whole-Gene-Only,ENSG00000123843.8,chr1,207262187-207273338,0.039172506,-0.4680484,NA,NA,NA,FALSE
CD55,Both,ENSG00000196352.9,chr1,207494853-207534311,0.035187288,0.5124246,ENST00000476590.1,0.049588042,0.5300603,FALSE
DIEXF,Isoform-Only,ENST00000491415.2,chr1,210001352-210030910,NA,NA,ENST00000491415.2,0.048147054,-0.5122423,FALSE
HP1BP3,Whole-Gene-Only,ENSG00000127483.13,chr1,21069154-21113816,0.036868267,0.527453,NA,NA,NA,TRUE
ATF3,Both,ENSG00000162772.12,chr1,212738676-212794119,0.045154803,-0.4454625,ENST00000366987.2,0.005290966,-0.5755771,TRUE
FLVCR1,Both,ENSG00000162769.8,chr1,213031597-213072705,0.010345175,0.5223354,ENST00000366971.4,0.037344748,0.4722607,FALSE
ANGEL2,Whole-Gene-Only,ENSG00000174606.8,chr1,213165524-213189168,0.020200944,0.5577922,NA,NA,NA,FALSE
1-Mar,Whole-Gene-Only,ENSG00000186205.8,chr1,220960101-220987735,0.016713922,0.5602038,NA,NA,NA,FALSE
DUSP10,Isoform-Only,ENST00000366899.3,chr1,221874766-221915518,NA,NA,ENST00000366899.3,0.021882021,-0.5297015,TRUE
TLR5,Isoform-Only,ENST00000540964.1,chr1,223282748-223310629,NA,NA,ENST00000540964.1,0.031553281,0.4957097,FALSE
CAPN2,Isoform-Only,ENST00000487223.1,chr1,223945928-223963720,NA,NA,ENST00000487223.1,0.031156972,-0.4584153,TRUE
CAPN2,Isoform-Only,ENST00000463997.1,chr1,223958325-223963720,NA,NA,ENST00000463997.1,0.007821364,-0.5586217,TRUE
TP53BP2,Both,ENSG00000143514.12,chr1,223967601-224033674,0.008343335,-0.6140199,ENST00000343537.7,0.011800184,-0.6337991,FALSE
ITPKB,Whole-Gene-Only,ENSG00000143772.5,chr1,226819391-226927024,0.007129534,0.6324722,NA,NA,NA,TRUE
CCSAP,Whole-Gene-Only,ENSG00000154429.6,chr1,229456758-229479041,0.045294283,0.493005,NA,NA,NA,FALSE
C1orf131,Whole-Gene-Only,ENSG00000143633.8,chr1,231359509-231376933,0.011125281,0.5516772,NA,NA,NA,FALSE
RP11-295G20.2,Isoform-Only,ENST00000416221.1,chr1,231658134-231664302,NA,NA,ENST00000416221.1,0.017390232,0.5486721,FALSE
SIPA1L2,Isoform-Only,ENST00000308942.4,chr1,232534456-232598163,NA,NA,ENST00000308942.4,0.049873366,-0.4314351,FALSE
TARBP1,Whole-Gene-Only,ENSG00000059588.5,chr1,234527059-234614849,0.003011816,-0.6427734,NA,NA,NA,TRUE
GPR137B,Both,ENSG00000077585.9,chr1,236305832-236385165,0.003208576,-0.6438368,ENST00000366592.3,0.004859414,-0.6276541,FALSE
ZNF436,Both,ENSG00000125945.10,chr1,23685941-23695935,1.01E-05,-0.8137407,ENST00000314011.4,0.000374365,-0.7467263,FALSE
MTRNR2L11,Both,ENSG00000270188.1,chr1,238107024-238108575,0.004241967,-0.6259467,ENST00000604646.1,0.007390777,-0.6365197,FALSE
KMO,Both,ENSG00000117009.7,chr1,241695434-241758944,0.004464075,-0.6201287,ENST00000366557.4,0.034085279,-0.486048,FALSE
SDCCAG8,Isoform-Only,ENST00000476722.2,chr1,243449656-243469850,NA,NA,ENST00000476722.2,0.0132064,-0.5352021,TRUE
AKT3,Isoform-Only,ENST00000366539.1,chr1,243665065-244013430,NA,NA,ENST00000366539.1,0.046751554,-0.4308605,TRUE
IL22RA1,Isoform-Only,ENST00000270800.1,chr1,24446261-24469611,NA,NA,ENST00000270800.1,0.038659883,-0.4884615,FALSE
ZNF692,Whole-Gene-Only,ENSG00000171163.11,chr1,249144205-249153343,0.044710233,0.4949335,NA,NA,NA,FALSE
FAM213B,Isoform-Only,ENST00000476686.1,chr1,2520033-2522907,NA,NA,ENST00000476686.1,0.006258794,-0.6038264,FALSE
RHD,Whole-Gene-Only,ENSG00000187010.14,chr1,25598884-25656936,0.047664969,0.4493737,NA,NA,NA,TRUE
AIM1L,Isoform-Only,ENST00000374211.1,chr1,26648368-26651472,NA,NA,ENST00000374211.1,0.017486457,-0.5256823,FALSE
RPS6KA1,Isoform-Only,ENST00000531113.1,chr1,26869653-26898724,NA,NA,ENST00000531113.1,0.013629271,0.5793773,TRUE
C1orf172,Both,ENSG00000175707.7,chr1,27276053-27286897,0.028072939,-0.4746824,ENST00000320567.5,0.024784457,-0.5096676,FALSE
MECR,Whole-Gene-Only,ENSG00000116353.11,chr1,29519385-29557454,0.033116152,-0.4848099,NA,NA,NA,FALSE
YARS,Isoform-Only,ENST00000373477.4,chr1,33240840-33283754,NA,NA,ENST00000373477.4,0.006543109,-0.598752,FALSE
ZMYM6,Isoform-Only,ENST00000460607.1,chr1,35482851-35497448,NA,NA,ENST00000460607.1,0.041728933,-0.4792654,FALSE
ADPRHL2,Isoform-Only,ENST00000373178.4,chr1,36554476-36559533,NA,NA,ENST00000373178.4,0.027256126,-0.6353788,FALSE
SH3D21,Isoform-Only,ENST00000505871.1,chr1,36772711-36786832,NA,NA,ENST00000505871.1,0.034179038,-0.4893296,FALSE
CSF3R,Isoform-Only,ENST00000526980.1,chr1,36942584-36948500,NA,NA,ENST00000526980.1,0.038423648,0.5943422,FALSE
DFFB,Whole-Gene-Only,ENSG00000169598.11,chr1,3773845-3801993,0.021913901,0.5202241,NA,NA,NA,TRUE
SF3A3,Both,ENSG00000183431.7,chr1,38422647-38456593,0.031211349,0.5143978,ENST00000448721.2,0.043271146,0.4799572,TRUE
FHL3,Whole-Gene-Only,ENSG00000183386.5,chr1,38462442-38471278,0.022649377,0.5407009,NA,NA,NA,TRUE
NDUFS5,Isoform-Only,ENST00000372969.3,chr1,39491990-39500308,NA,NA,ENST00000372969.3,0.005693042,-0.4975749,FALSE
CAP1,Isoform-Only,ENST00000372797.3,chr1,40505905-40538321,NA,NA,ENST00000372797.3,0.033243121,-0.5722648,TRUE
SMAP2,Both,ENSG00000084070.7,chr1,40810522-40888998,0.0305696,0.5445592,ENST00000372708.1,0.047060763,0.5706562,FALSE
SMAP2,Both,ENSG00000084070.7,chr1,40810522-40888998,0.0305696,0.5445592,ENST00000487871.1,0.047440978,0.497291,FALSE
B4GALT2,Isoform-Only,ENST00000434555.2,chr1,44445108-44456840,NA,NA,ENST00000434555.2,0.008898165,-0.5932628,FALSE
TCTEX1D4,Whole-Gene-Only,ENSG00000188396.2,chr1,45271585-45272957,0.040464028,0.4606686,NA,NA,NA,FALSE
HECTD3,Isoform-Only,ENST00000372172.4,chr1,45468212-45477001,NA,NA,ENST00000372172.4,0.009228524,0.602718,FALSE
UROD,Isoform-Only,ENST00000246337.4,chr1,45477819-45481247,NA,NA,ENST00000246337.4,0.003938908,-0.6302095,FALSE
TOE1,Whole-Gene-Only,ENSG00000132773.7,chr1,45805342-45809647,0.04176137,-0.4344631,NA,NA,NA,FALSE
PRDX1,Whole-Gene-Only,ENSG00000117450.9,chr1,45976708-45988719,0.04407173,-0.488423,NA,NA,NA,TRUE
AKR1A1,Isoform-Only,ENST00000497973.1,chr1,46032541-46035721,NA,NA,ENST00000497973.1,0.001921889,-0.6307943,FALSE
CCDC17,Whole-Gene-Only,ENSG00000159588.10,chr1,46085716-46089729,0.048747218,0.4787926,NA,NA,NA,FALSE
GPBP1L1,Isoform-Only,ENST00000479235.1,chr1,46092976-46101396,NA,NA,ENST00000479235.1,0.00374758,-0.6288191,FALSE
MAST2,Whole-Gene-Only,ENSG00000086015.16,chr1,46252659-46501796,0.040078436,0.4780762,NA,NA,NA,FALSE
LRRC41,Isoform-Only,ENST00000343304.6,chr1,46744072-46769280,NA,NA,ENST00000343304.6,0.035480944,-0.4596279,FALSE
OSBPL9,Isoform-Only,ENST00000475697.1,chr1,52225296-52254141,NA,NA,ENST00000475697.1,0.035737798,0.4873885,FALSE
ECHDC2,Isoform-Only,ENST00000543419.1,chr1,53361904-53377327,NA,NA,ENST00000543419.1,0.003648719,-0.6327603,FALSE
AL161915.1,Whole-Gene-Only,ENSG00000212670.1,chr1,54569968-54571750,0.036994734,0.4693812,NA,NA,NA,FALSE
MRPL37,Isoform-Only,ENST00000360840.5,chr1,54665840-54684051,NA,NA,ENST00000360840.5,0.04375341,-0.4798602,FALSE
SSBP3,Both,ENSG00000157216.11,chr1,54691105-54879152,0.026286235,-0.5175851,ENST00000371319.3,0.010624918,-0.5716317,FALSE
TTC22,Isoform-Only,ENST00000371274.4,chr1,55250224-55266871,NA,NA,ENST00000371274.4,0.018669405,-0.533566,FALSE
MTND1P23,Whole-Gene-Only,ENSG00000225972.1,chr1,564442-564813,0.018588016,-0.57308,NA,NA,NA,FALSE
MTATP8P1,Whole-Gene-Only,ENSG00000240409.1,chr1,568915-569121,0.043538152,-0.4577635,NA,NA,NA,FALSE
MTATP6P1,Whole-Gene-Only,ENSG00000248527.1,chr1,569076-569756,0.00850573,-0.6525271,NA,NA,NA,FALSE
RP5-857K21.4,Isoform-Only,ENST00000414688.1,chr1,646722-655580,NA,NA,ENST00000414688.1,0.037247696,0.4781794,FALSE
SRSF11,Isoform-Only,ENST00000460795.1,chr1,70712413-70716408,NA,NA,ENST00000460795.1,0.017541962,-0.5520547,FALSE
ANKRD13C,Isoform-Only,ENST00000370944.4,chr1,70726271-70820405,NA,NA,ENST00000370944.4,0.009403812,-0.5369719,FALSE
RP11-206L10.9,Whole-Gene-Only,ENSG00000237491.4,chr1,714150-745440,0.034889741,-0.4559918,NA,NA,NA,FALSE
ZZZ3,Whole-Gene-Only,ENSG00000036549.8,chr1,78028101-78149104,0.007729115,-0.6373037,NA,NA,NA,FALSE
PER3,Isoform-Only,ENST00000361923.2,chr1,7844763-7905237,NA,NA,ENST00000361923.2,0.008078716,-0.5709991,TRUE
ERRFI1,Both,ENSG00000116285.8,chr1,8064464-8086368,0.029870437,-0.4871757,ENST00000377482.5,0.041591753,-0.4904667,TRUE
RP5-1115A15.1,Whole-Gene-Only,ENSG00000232912.1,chr1,8484705-8494898,0.037985679,0.4865954,NA,NA,NA,FALSE
MCOLN2,Whole-Gene-Only,ENSG00000153898.8,chr1,85391268-85462796,0.026754757,-0.4917354,NA,NA,NA,FALSE
CYR61,Both,ENSG00000142871.11,chr1,86046444-86049645,0.038296784,-0.4774619,ENST00000451137.2,0.041293568,-0.4983306,TRUE
PTGES3P1,Whole-Gene-Only,ENSG00000234518.1,chr1,89569968-89570450,0.013419524,0.5839227,NA,NA,NA,TRUE
GBP2,Isoform-Only,ENST00000464839.1,chr1,89571815-89616139,NA,NA,ENST00000464839.1,0.045162439,0.6758671,FALSE
LRRC8B,Whole-Gene-Only,ENSG00000197147.8,chr1,89990395-90063423,0.049249705,0.4446767,NA,NA,NA,FALSE
ZNF644,Isoform-Only,ENST00000347275.5,chr1,91380861-91487014,NA,NA,ENST00000347275.5,0.041570973,-0.468383,FALSE
SPSB1,Isoform-Only,ENST00000328089.6,chr1,9352939-9429591,NA,NA,ENST00000328089.6,0.031874012,-0.4992646,FALSE
DNTTIP2,Isoform-Only,ENST00000460191.1,chr1,94341222-94345474,NA,NA,ENST00000460191.1,0.047458154,0.4484628,FALSE
CTNNBIP1,Isoform-Only,ENST00000400904.3,chr1,9910167-9970394,NA,NA,ENST00000400904.3,0.034122742,-0.5161479,FALSE
RP11-465B22.3,Whole-Gene-Only,ENSG00000217801.5,chr1,995114-1004735,0.04931184,-0.4739048,NA,NA,NA,FALSE
GOT1,Both,ENSG00000120053.9,chr10,101156627-101190381,0.002738177,-0.6604942,ENST00000370508.5,0.014813496,-0.568818,FALSE
DNMBP,Both,ENSG00000107554.11,chr10,101635334-101769676,0.036410386,-0.4645387,ENST00000543621.1,0.014567696,-0.5909603,FALSE
GTPBP4,Isoform-Only,ENST00000538293.1,chr10,1034402-1063617,NA,NA,ENST00000538293.1,0.005861334,-0.6052959,FALSE
NT5C2,Isoform-Only,ENST00000343289.5,chr10,104845940-104953056,NA,NA,ENST00000343289.5,0.034365509,0.4862462,TRUE
ADD3,Whole-Gene-Only,ENSG00000148700.9,chr10,111756126-111895323,0.021970341,0.568162,NA,NA,NA,FALSE
ZDHHC6,Whole-Gene-Only,ENSG00000023041.7,chr10,114190058-114206672,0.035938039,-0.6127083,NA,NA,NA,FALSE
USP6NL,Both,ENSG00000148429.10,chr10,11495945-11653753,0.023805423,-0.5203973,ENST00000443016.1,0.039191883,-0.4702997,FALSE
KIAA1598,Isoform-Only,ENST00000497044.1,chr10,118644308-118733681,NA,NA,ENST00000497044.1,0.039367171,-0.4614379,FALSE
PROSER2,Isoform-Only,ENST00000277570.5,chr10,11865397-11914276,NA,NA,ENST00000277570.5,0.025146596,-0.5063754,FALSE
RGS10,Whole-Gene-Only,ENSG00000148908.10,chr10,121259340-121302220,0.008781443,-0.5592284,NA,NA,NA,TRUE
C10orf137,Whole-Gene-Only,ENSG00000107938.13,chr10,127408084-127452712,0.014976367,0.5958287,NA,NA,NA,FALSE
OPTN,Isoform-Only,ENST00000378757.2,chr10,13142169-13180291,NA,NA,ENST00000378757.2,0.01088112,-0.5487211,FALSE
ZNF511,Isoform-Only,ENST00000359035.3,chr10,135122445-135126666,NA,NA,ENST00000359035.3,0.047307772,-0.4492187,FALSE
CYP2E1,Both,ENSG00000130649.5,chr10,135333910-135374724,0.006982379,-0.56508,ENST00000469258.1,0.005147732,-0.6136743,TRUE
HSPA14,Isoform-Only,ENST00000437161.2,chr10,14880301-14886736,NA,NA,ENST00000437161.2,0.006125395,-0.6225967,TRUE
DCLRE1C,Isoform-Only,ENST00000378289.4,chr10,14939358-14996431,NA,NA,ENST00000378289.4,0.013064932,-0.5754146,TRUE
RPP38,Whole-Gene-Only,ENSG00000152464.10,chr10,15139179-15181817,0.028825286,-0.4774508,NA,NA,NA,FALSE
FAM188A,Isoform-Only,ENST00000477891.1,chr10,15820169-15902497,NA,NA,ENST00000477891.1,0.046102263,-0.4367505,FALSE
NSUN6,Whole-Gene-Only,ENSG00000241058.1,chr10,18834490-18940551,0.044295642,0.4646088,NA,NA,NA,TRUE
PIP4K2A,Whole-Gene-Only,ENSG00000150867.9,chr10,22823778-23003484,0.029688824,0.5398105,NA,NA,NA,TRUE
APBB1IP,Whole-Gene-Only,ENSG00000077420.11,chr10,26727132-26856732,0.023796729,0.5734974,NA,NA,NA,FALSE
ABI1,Isoform-Only,ENST00000376166.1,chr10,27035522-27149915,NA,NA,ENST00000376166.1,0.000362109,-0.7262645,TRUE
ACBD5,Isoform-Only,ENST00000375901.1,chr10,27484146-27531017,NA,NA,ENST00000375901.1,0.03041179,-0.4861924,FALSE
MAP3K8,Isoform-Only,ENST00000375322.2,chr10,30723173-30728410,NA,NA,ENST00000375322.2,0.046979083,-0.5001543,TRUE
PFKP,Isoform-Only,ENST00000381072.1,chr10,3171199-3178985,NA,NA,ENST00000381072.1,0.000227321,-0.7422735,FALSE
PARD3,Both,ENSG00000148498.11,chr10,34398488-35104253,0.022052092,-0.5218628,ENST00000466092.1,0.040785596,-0.4852231,TRUE
MTRNR2L7,Both,ENSG00000256892.1,chr10,37890366-37891859,0.041753086,-0.4575385,ENST00000544824.1,0.043625671,-0.4773467,FALSE
RASGEF1A,Both,ENSG00000198915.7,chr10,43689983-43762367,0.007828714,0.5786736,ENST00000395810.1,0.024759348,0.5369092,FALSE
ZNF487,Isoform-Only,ENST00000596267.1,chr10,43947368-43950112,NA,NA,ENST00000596267.1,0.014106429,0.5577073,FALSE
ZNF32,Both,ENSG00000169740.9,chr10,44139307-44144304,0.023328659,-0.5104444,ENST00000374433.2,0.040715657,-0.4842525,FALSE
FAM25G,Whole-Gene-Only,ENSG00000197910.7,chr10,48247669-48252143,0.042460402,-0.4382497,NA,NA,NA,FALSE
RTKN2,Isoform-Only,ENST00000395260.3,chr10,63997916-64028466,NA,NA,ENST00000395260.3,0.030646209,-0.495597,FALSE
JMJD1C,Isoform-Only,ENST00000542921.1,chr10,64927350-65028826,NA,NA,ENST00000542921.1,0.020975249,0.3871873,FALSE
