ID,Difference in M values (SZ - control),P.Value,adj.P.Val,CHR,Methyl27_Loci,UCSC_RefGene_Name,UCSC_RefGene_Group,UCSC_CpG_Islands_Name,Relation_to_UCSC_CpG_Island,Enhancer,Regulatory_Feature_Group
cg00027650,-0.393326358,0.002054519,0.038144023,15,NA,TCF12;TCF12;TCF12;TCF12;TCF12,TSS1500;Body;Body;Body;Body,,,NA,
cg00028318,0.222881224,0.000686858,0.02364459,6,NA,GABBR1;GABBR1;GABBR1,3'UTR;3'UTR;3'UTR,,,NA,Unclassified_Cell_type_specific
cg00028429,-0.490159591,0.000952926,0.027051542,15,NA,,,,,TRUE,
cg00029246,0.429195431,0.00024503,0.016111954,7,NA,DGKI,Body,,,TRUE,
cg00031105,0.22010288,0.000901763,0.026413271,6,NA,RXRB,Body,chr6:33167885-33168715,N_Shore,NA,Gene_Associated
cg00031162,0.390413807,0.000523684,0.021282876,17,TRUE,TNFSF12;TNFSF12-TNFSF13,Body;Body,chr17:7452150-7452645,S_Shore,TRUE,Unclassified
cg00031491,-0.263222318,0.000346965,0.018092109,6,NA,SLC44A4,Body,,,NA,
cg00033155,-0.399938357,1.46E-05,0.006580034,2,NA,NPHP1;NPHP1;NPHP1;NPHP1,Body;Body;Body;Body,,,TRUE,
cg00036664,-0.308486092,0.00139643,0.031984429,4,NA,,,chr4:185939222-185942747,N_Shore,NA,
cg00036976,-0.339742698,0.001914383,0.036864032,16,NA,,,,,NA,
cg00037013,-0.319315783,3.00E-05,0.007946058,2,NA,,,chr2:219723702-219725010,N_Shore,NA,
cg00037457,-0.223069492,9.77E-05,0.01165485,17,NA,,,chr17:59531723-59535254,Island,NA,Unclassified_Cell_type_specific
cg00037856,0.388074948,0.00321802,0.04682191,3,NA,,,chr3:127633993-127634588,N_Shore,NA,
cg00038736,-0.215999289,0.001500806,0.032957927,19,NA,GGN,Body,chr19:38876614-38878950,Island,NA,
cg00039441,-0.264101332,0.003479933,0.048696968,2,NA,HOXD13,TSS200,chr2:176957054-176958279,Island,NA,Unclassified_Cell_type_specific
cg00040268,-0.191676325,0.002309866,0.040166533,7,NA,HOXA3;HOXA3;HOXA3,5'UTR;5'UTR;5'UTR,chr7:27153187-27153647,N_Shore,NA,
cg00044372,0.439158342,0.000747699,0.024524143,16,NA,KIAA0513,5'UTR,,,TRUE,
cg00044466,0.337558885,5.91E-05,0.009885809,16,NA,,,,,NA,
cg00045118,0.357280554,0.000151881,0.013609669,8,NA,RUNX1T1;RUNX1T1;RUNX1T1,Body;5'UTR;TSS1500,,,NA,
cg00045532,0.124989213,0.002257021,0.039758967,12,NA,,,,,NA,
cg00046041,0.105003942,0.002648391,0.042809393,16,NA,SLC7A5P2,Body,chr16:21531112-21532123,Island,NA,Promoter_Associated
cg00046744,0.517264626,0.000322446,0.017678978,12,NA,LRP6,Body,chr12:12419679-12420541,N_Shore,NA,
cg00049033,-0.251367396,0.001177462,0.029742787,16,NA,CBLN1,TSS1500,chr16:49316997-49317263,Island,NA,
cg00050152,-0.302468596,0.001155806,0.029475442,5,NA,BTNL9,Body,chr5:180479585-180480959,Island,TRUE,Unclassified
cg00053073,-0.250409244,0.002292764,0.040055979,19,NA,PDE4C;PDE4C,1stExon;Body,chr19:18335072-18337375,Island,NA,Unclassified_Cell_type_specific
cg00053536,0.173143609,0.001081296,0.028653395,1,NA,CROCC,Body,chr1:17292904-17293115,N_Shore,NA,
cg00054408,-0.192862544,6.83E-05,0.010400513,19,NA,BRUNOL5,Body,chr19:3275608-3275970,Island,TRUE,Unclassified
cg00055073,0.239978423,0.001053271,0.028349744,2,NA,,,chr2:43398040-43398276,Island,NA,
cg00055341,-0.544338274,7.23E-05,0.010542666,2,NA,,,,,TRUE,
cg00055679,-0.179826734,0.001684305,0.034817609,13,NA,,,chr13:79170114-79171231,Island,TRUE,
cg00056066,-0.371215639,0.00254321,0.041973757,10,NA,ARHGAP21,Body,chr10:25011963-25013816,N_Shore,NA,
cg00056754,-0.275319166,0.003234762,0.046959321,1,NA,DUSP27,TSS200,,,TRUE,
cg00060605,0.309303426,0.001789174,0.035796464,5,NA,,,chr5:139780307-139782108,N_Shelf,NA,
cg00062245,-0.352011895,0.00037224,0.01861948,17,NA,ITGA2B,Body,chr17:42462135-42463579,Island,TRUE,Unclassified
cg00063346,-0.30009122,0.00065956,0.02329133,1,NA,OBSCN;OBSCN,Body;Body,,,NA,
cg00063734,0.345109544,0.001610279,0.034059769,15,NA,,,chr15:68260501-68260710,S_Shore,TRUE,
cg00063828,-0.375081701,0.001993076,0.037606765,16,NA,C16orf74,Body,,,TRUE,
cg00066663,-0.225927489,0.000681682,0.023590136,17,NA,CHD3;CHD3;CHD3,Body;Body;Body,chr17:7788261-7789091,S_Shelf,NA,Promoter_Associated
cg00066942,0.371336747,0.000181516,0.014515591,2,NA,EPC2,TSS1500,chr2:149401671-149403498,N_Shore,NA,
cg00071161,0.142896657,0.00305395,0.045742129,6,NA,TMEM63B,Body,chr6:44119526-44119781,N_Shore,NA,
cg00073090,0.272475432,0.000619265,0.022694019,19,NA,,,chr19:1265854-1269943,Island,NA,Promoter_Associated
cg00073244,-0.226955848,0.001271806,0.030777712,1,NA,MEGF6,TSS1500,chr1:3527619-3528078,S_Shore,NA,
cg00076353,-0.257784489,0.003524735,0.04891738,20,NA,TBC1D20,Body,chr20:442530-443365,Island,NA,Promoter_Associated
cg00076653,0.422295567,0.000117188,0.012466688,4,NA,C1QTNF7,Body,,,NA,
cg00077567,0.148701865,0.002424872,0.041060484,5,NA,,,,,NA,
cg00078194,-0.159064662,3.93E-05,0.008754187,11,TRUE,MDK;MDK;MDK,TSS1500;5'UTR;TSS1500,chr11:46402624-46404139,Island,NA,
cg00081251,0.315831974,0.000621108,0.022720026,1,NA,CCDC163P;MMACHC,TSS200;TSS200,chr1:45965586-45966049,Island,NA,Promoter_Associated
cg00081324,-0.138259566,0.000637758,0.023006835,17,NA,SAMD14,Body,,,TRUE,
cg00082939,-0.277540002,0.000320091,0.017660508,10,NA,C10orf41;C10orf41,Body;Body,chr10:77155128-77169600,Island,NA,Unclassified_Cell_type_specific
cg00083046,-0.324584549,0.000326498,0.017776181,2,NA,,,chr2:175204843-175207553,Island,NA,
cg00085493,0.59957816,0.000384427,0.018820889,1,NA,,,chr1:208041862-208042718,N_Shore,NA,Promoter_Associated_Cell_type_specific
cg00088797,0.419886434,0.002837951,0.044187845,3,NA,IQSEC1;IQSEC1,Body;Body,chr3:12976966-12978182,N_Shore,NA,
cg00089821,-0.333945844,0.00282806,0.044106909,6,NA,,,,,TRUE,
cg00089945,0.289748297,0.001787229,0.035776014,1,NA,MIA3,Body,chr1:222817467-222817671,N_Shore,NA,
cg00090282,-0.501814316,0.000209328,0.015116719,3,NA,ZNF385D,Body,,,TRUE,
cg00090782,-0.27871287,0.000550609,0.021678804,10,NA,,,chr10:43248523-43250912,Island,NA,Unclassified_Cell_type_specific
cg00092309,-0.445858747,1.95E-05,0.007215928,4,NA,,,chr4:185937242-185937750,N_Shelf,NA,
cg00092551,0.295272445,0.001111583,0.028984003,7,NA,SND1,Body,,,TRUE,
cg00097800,0.503589372,0.001090176,0.028765148,2,NA,EPAS1,Body,,,TRUE,Unclassified_Cell_type_specific
cg00098451,0.20365945,0.00116404,0.029586887,1,NA,CLCNKB,5'UTR,,,NA,
cg00099091,-0.155314792,0.000833596,0.025609122,16,NA,HAGHL;HAGHL;CCDC78,TSS1500;TSS200;TSS1500,chr16:776636-779417,Island,NA,Unclassified
cg00099129,-0.366232272,0.002106619,0.038565889,2,NA,LOC440839,Body,,,NA,Unclassified_Cell_type_specific
cg00099602,-0.329010651,0.000112693,0.012311559,6,NA,GJB7,3'UTR,,,NA,
cg00099766,0.588736024,0.000388902,0.01889211,6,NA,RRAGD,Body,chr6:90120874-90122370,N_Shore,NA,
cg00101457,0.36291134,0.001256696,0.030599081,10,NA,CUGBP2;CUGBP2;CUGBP2;CUGBP2,Body;Body;Body;Body,,,NA,
cg00101728,-0.34485062,0.000182522,0.014542504,6,NA,SERPINB6,Body,,,TRUE,Unclassified
cg00104167,-0.507042732,1.17E-05,0.006275075,16,NA,,,,,NA,
cg00105229,0.142552003,0.002268771,0.03986524,15,NA,,,,,NA,
cg00106989,-0.243826386,0.000422837,0.019629008,5,NA,LOC729678,Body,chr5:180258186-180258784,Island,NA,Promoter_Associated
cg00109703,-0.337879829,0.000784311,0.024901035,20,NA,,,chr20:39321289-39321647,N_Shore,TRUE,Unclassified
cg00110917,0.299883313,4.36E-05,0.008897197,7,NA,,,,,NA,
cg00112238,0.283086015,0.000933438,0.026840614,1,NA,SSBP3;SSBP3;SSBP3,Body;Body;Body,chr1:54723696-54724019,N_Shelf,TRUE,Unclassified_Cell_type_specific
cg00112465,-0.36825947,0.000682452,0.023593748,3,NA,CCDC48,TSS1500,chr3:128719865-128721245,Island,NA,
cg00113096,-0.513488579,0.00118138,0.029774171,2,NA,NCKAP5;NCKAP5,Body;Body,,,TRUE,
cg00113194,-0.215633456,0.001632603,0.034321668,1,NA,NOC2L,Body,chr1:886356-886602,N_Shore,NA,
cg00114012,0.256227734,0.001489574,0.032859059,9,NA,SLC2A8,TSS1500,chr9:130158774-130159057,N_Shore,NA,Unclassified
cg00114029,-0.609493166,0.00337043,0.047955136,1,NA,DLGAP3,Body,chr1:35350878-35351854,Island,TRUE,Unclassified_Cell_type_specific
cg00114346,0.389169151,5.07E-05,0.00936055,7,NA,DNAJB6,Body,chr7:157208794-157209008,N_Shore,NA,
cg00117012,0.399616239,0.002290017,0.040035438,15,NA,CD276;CD276,Body;Body,,,NA,Unclassified
cg00117599,-0.266432243,2.19E-05,0.007431148,17,NA,,,,,TRUE,Unclassified_Cell_type_specific
cg00118342,0.538820176,0.00019628,0.014834668,2,NA,UXS1,Body,,,NA,Promoter_Associated_Cell_type_specific
cg00118808,0.33332571,0.00235863,0.040550202,9,NA,,,chr9:132099123-132099616,N_Shore,TRUE,Unclassified_Cell_type_specific
cg00121366,0.338399611,0.000406347,0.019285464,20,NA,STMN3,Body,chr20:62283516-62284835,N_Shore,NA,
cg00122851,0.246015556,0.002235664,0.039592182,16,NA,GNPTG,3'UTR,chr16:1414417-1414851,N_Shore,NA,Gene_Associated
cg00125306,0.312379052,0.000897263,0.026341519,17,NA,CBX4,Body,chr17:77812016-77812276,N_Shore,NA,Promoter_Associated
cg00126320,-0.186212217,0.000931549,0.026820434,8,NA,,,chr8:23584001-23584761,Island,TRUE,
cg00129556,0.260328689,0.002581093,0.042291126,6,NA,FRS3;PRICKLE4,TSS1500;5'UTR,chr6:41748132-41748672,Island,NA,
cg00129731,-0.212373974,0.000675415,0.023514647,6,NA,FAM46A,TSS200,chr6:82461133-82463805,Island,NA,Promoter_Associated
cg00129785,-0.273488689,0.002781362,0.04374272,21,NA,,,chr21:47456271-47456530,N_Shore,NA,
cg00130039,-0.254510251,0.002586512,0.042311954,13,NA,CDX2;CDX2,5'UTR;1stExon,chr13:28542221-28543544,Island,NA,Unclassified_Cell_type_specific
cg00130693,-0.395883725,0.003331854,0.047656779,1,NA,PYCR2,Body,chr1:226111642-226112552,N_Shore,NA,
cg00134210,-0.405036692,0.000755744,0.024597045,10,NA,FAM107B,Body,chr10:14645752-14646705,N_Shore,NA,Promoter_Associated
cg00134602,0.465526625,0.000690921,0.023699219,3,NA,,,chr3:64253533-64253819,N_Shore,NA,
cg00135888,0.208821781,0.002648719,0.042812084,11,NA,MIR130A,TSS1500,,,NA,
cg00136077,-0.222579328,0.003174337,0.046540607,12,NA,GALNT9,Body,chr12:132834178-132834430,N_Shore,NA,
cg00137828,-0.192685955,0.003596908,0.049415066,10,NA,C10orf78;C10orf78,TSS200;TSS200,chr10:105881449-105881947,Island,NA,Promoter_Associated
cg00137944,0.366374117,0.001899141,0.036738554,1,NA,,,chr1:50798667-50799536,N_Shore,NA,Unclassified_Cell_type_specific
cg00140494,0.247106645,0.001840403,0.036252578,18,NA,NFATC1;NFATC1;NFATC1;NFATC1,Body;Body;Body;Body,chr18:77255680-77256046,Island,NA,
cg00140813,-0.122516378,0.002314351,0.040183604,16,NA,TUFM,TSS200,chr16:28857204-28858139,Island,NA,Promoter_Associated
cg00143376,-0.149179777,0.000484088,0.020607844,2,TRUE,NMUR1,Body,chr2:232394763-232395337,N_Shore,NA,
cg00145352,-0.570847329,0.000973774,0.027341263,17,NA,LOC284009;METT10D,TSS1500;3'UTR,,,NA,Unclassified
cg00146249,0.509948586,0.002546742,0.042008215,17,NA,BAIAP2;BAIAP2;BAIAP2;BAIAP2,Body;Body;Body;Body,chr17:79045454-79045696,N_Shelf,NA,
cg00147788,-0.41524754,9.11E-06,0.005965292,6,NA,,,,,TRUE,
cg00148114,0.242316685,0.002702786,0.043167803,7,NA,,,chr7:5458503-5469256,Island,TRUE,Unclassified_Cell_type_specific
cg00148666,-0.305575489,6.53E-05,0.01029073,16,NA,MT1X,TSS1500,chr16:56715992-56716425,Island,TRUE,Promoter_Associated
cg00151728,-0.241325891,0.000424584,0.019654635,3,NA,,,chr3:169482338-169483052,N_Shelf,NA,
cg00151906,0.479231647,0.001286167,0.030904699,1,NA,CHRNB2,Body,chr1:154543818-154544713,S_Shelf,TRUE,
cg00155063,-0.329089498,0.00125044,0.030530838,1,NA,TNFRSF1B,Body,chr1:12226876-12227712,S_Shore,TRUE,Promoter_Associated
cg00157796,-0.349097203,9.81E-05,0.011674019,6,NA,FNDC1,TSS200,chr6:159589636-159591319,Island,NA,Unclassified
cg00157962,0.408956741,7.27E-05,0.01054624,1,NA,FAM102B,TSS1500,chr1:109102538-109103212,N_Shore,NA,
cg00158442,0.309214069,0.000171136,0.014207935,12,NA,,,chr12:133303808-133304234,N_Shelf,NA,Gene_Associated_Cell_type_specific
cg00160018,0.288213339,0.00218197,0.039223451,6,NA,VPS52,Body,,,NA,
cg00160667,-0.234998764,0.000180759,0.014500716,1,NA,PTPRU;PTPRU;PTPRU,Body;Body;Body,chr1:29587087-29587412,Island,NA,
cg00160818,-0.156658592,0.003313939,0.047513269,6,NA,CCHCR1;TCF19;CCHCR1;TCF19;TCF19;CCHCR1;TCF19,TSS1500;1stExon;TSS1500;5'UTR;5'UTR;TSS1500;1stExon,chr6:31125894-31126561,Island,NA,Promoter_Associated
cg00162231,-0.681085567,0.000171516,0.014214072,3,NA,SLC6A1,5'UTR,chr3:11034446-11035384,Island,NA,
cg00162806,-0.245706931,0.000219673,0.015398292,10,NA,VENTX,Body,chr10:135048797-135052077,Island,TRUE,
cg00163546,0.382782488,0.000370829,0.018583942,18,NA,BRUNOL4;BRUNOL4;BRUNOL4;BRUNOL4,Body;Body;Body;Body,chr18:34973989-34974464,N_Shelf,NA,
cg00165631,-0.298035638,0.000168791,0.014169369,1,NA,IGFN1;IGFN1,1stExon;5'UTR,,,TRUE,
cg00167684,0.425177358,0.001106559,0.028929781,16,NA,FUK,Body,chr16:70507026-70507246,N_Shore,NA,
cg00167763,0.25647651,0.002423709,0.041048649,22,NA,MPPED1,5'UTR,chr22:43820887-43821136,N_Shore,NA,
cg00168942,0.325036802,0.002310585,0.040169864,10,TRUE,GJD4;GJD4,1stExon;5'UTR,chr10:35896518-35897461,N_Shelf,NA,
cg00172603,0.730296965,2.43E-05,0.007450487,1,NA,SSBP3;SSBP3;SSBP3,Body;Body;Body,chr1:54821990-54822333,Island,NA,
cg00173659,-0.290489943,0.002196102,0.039367208,7,NA,,,chr7:156871054-156871297,Island,TRUE,
cg00174428,-0.264967515,0.000416776,0.019487489,1,NA,LMX1A,Body,chr1:165204501-165205507,Island,TRUE,
cg00174500,-0.405897191,0.000190713,0.014709892,14,TRUE,CMTM5;CMTM5,1stExon;1stExon,,,TRUE,
cg00174508,-0.394515005,0.001498147,0.032934926,12,NA,BTBD11,Body,,,TRUE,
cg00174743,0.369683876,0.002661962,0.042885032,21,NA,PCNT,Body,chr21:47813251-47813462,N_Shore,NA,
cg00175441,0.653061935,8.21E-10,0.000217729,17,NA,TNRC6C;TNRC6C,Body;Body,chr17:76100679-76101115,N_Shore,NA,
cg00175859,-0.275691881,0.002266478,0.039840784,6,NA,PERP;PERP,1stExon;5'UTR,chr6:138428188-138428816,Island,NA,
cg00176709,-0.377942535,0.000187585,0.01465239,6,NA,,,chr6:85482569-85484718,Island,NA,
cg00177203,0.395312712,1.48E-05,0.006590779,1,NA,MTMR11;MTMR11;SF3B4,Body;Body;TSS1500,chr1:149899625-149899893,S_Shore,NA,
cg00179374,0.362734617,0.002728084,0.043370773,7,NA,PLXNA4;PLXNA4;PLXNA4,5'UTR;5'UTR;5'UTR,chr7:132260474-132262527,N_Shore,NA,
cg00180097,0.412807045,1.46E-05,0.006580034,6,NA,BAT2,Body,chr6:31599519-31599761,S_Shore,TRUE,
cg00181432,-0.345613883,0.001745415,0.035388066,3,NA,LSG1,TSS1500,chr3:194392808-194393378,S_Shore,NA,
cg00183684,0.279868905,0.003363988,0.047899698,1,NA,DDAH1;DDAH1,1stExon;5'UTR,chr1:86042229-86042935,S_Shore,NA,Unclassified
cg00190795,0.219935239,0.001202127,0.030002451,3,NA,TNK2;TNK2,Body;Body,chr3:195600845-195602361,N_Shore,NA,Unclassified_Cell_type_specific
cg00193283,-0.496753168,2.39E-05,0.007449469,3,NA,LOC285370,TSS200,,,NA,
cg00194277,0.320018003,0.001362539,0.031628764,7,NA,INMT,3'UTR,,,NA,
cg00196167,-0.236240612,7.63E-05,0.010712053,7,NA,C7orf55;C7orf55,5'UTR;1stExon,chr7:139024930-139026298,Island,NA,NonGene_Associated
cg00196414,-0.279731398,0.000762989,0.02463904,2,NA,EVX2,Body,chr2:176944087-176948446,Island,NA,Unclassified_Cell_type_specific
cg00196474,0.358755343,0.000320578,0.017660508,3,NA,,,,,TRUE,
cg00198586,0.265985054,0.001408388,0.032090478,3,NA,KALRN;KALRN;KALRN,Body;Body;Body,,,TRUE,
cg00201534,-0.177735046,0.00344999,0.04848635,21,NA,KRTAP10-10;C21orf29,TSS1500;Body,,,NA,
cg00202829,-0.234033276,0.002857759,0.04434969,15,NA,CCDC33;CCDC33,Body;TSS1500,,,NA,
cg00203284,-0.379459937,0.000210102,0.01512227,1,NA,,,chr1:47909712-47911020,Island,TRUE,Unclassified_Cell_type_specific
cg00204159,-0.278500983,0.001144788,0.029350682,17,NA,FAM83G;SLC5A10;SLC5A10,5'UTR;Body;Body,chr17:18906909-18908243,Island,NA,
cg00206463,-0.245697346,0.002490776,0.04151622,6,NA,TRIM26,5'UTR,chr6:30180933-30182187,N_Shore,NA,
cg00207352,-0.376448448,0.000665707,0.023401355,3,NA,PLXNB1;PLXNB1,5'UTR;5'UTR,chr3:48470230-48471389,N_Shore,NA,
cg00207856,0.559985989,8.69E-05,0.011234703,7,NA,C7orf50;C7orf50;C7orf50,Body;Body;Body,chr7:1052387-1052736,S_Shore,NA,Unclassified_Cell_type_specific
cg00209038,-0.351497868,0.002370889,0.040659155,2,NA,LHCGR,1stExon,chr2:48982621-48982958,Island,TRUE,
cg00213295,-0.390129946,0.002813864,0.044027305,17,NA,TMEM132E,Body,,,TRUE,
cg00215066,-0.241374111,0.002610539,0.042456269,19,TRUE,MYO9B;MYO9B,5'UTR;5'UTR,chr19:17212479-17213332,N_Shore,NA,
cg00215432,-0.568769335,6.03E-07,0.003072995,2,NA,MIR375,TSS200,chr2:219866131-219868054,Island,NA,
cg00215611,-0.204931502,0.001079129,0.028633735,2,NA,,,chr2:219860927-219861242,N_Shore,NA,Unclassified_Cell_type_specific
cg00215801,-0.236041077,0.000381288,0.018766617,6,NA,TAF11;TAF11;ANKS1A,1stExon;5'UTR;TSS1500,chr6:34855604-34855888,Island,NA,Promoter_Associated
cg00217795,-0.426101296,0.003681807,0.0499388,14,TRUE,DIO2;DIO2;DIO2,1stExon;1stExon;Body,,,NA,
cg00218620,-0.259742659,0.000167135,0.014132493,2,NA,MIR375,TSS200,chr2:219866131-219868054,Island,NA,
cg00218707,-0.298155824,0.002220264,0.039491647,15,NA,GOLGA6D,3'UTR,,,NA,
cg00218767,0.18063625,0.000857647,0.025888872,13,NA,GTF3A,Body,chr13:27998586-27999178,S_Shelf,NA,
cg00219816,0.304759195,3.06E-05,0.007987437,8,NA,C8orf37,Body,chr8:96280844-96281747,N_Shore,NA,
cg00220335,0.211623764,0.001142577,0.029350682,5,NA,CLPTM1L,Body,chr5:1344545-1345469,N_Shore,NA,
cg00220721,0.210822081,0.002860181,0.044364705,11,NA,PRR5L;PRR5L;PRR5L;PRR5L,5'UTR;5'UTR;TSS200;Body,,,NA,
cg00221745,-0.450553115,0.000650337,0.023145144,10,NA,FBXL15;PSD,TSS200;TSS1500,chr10:104178528-104179548,Island,NA,Promoter_Associated_Cell_type_specific
cg00222053,0.291176104,0.001862679,0.036408676,20,NA,GHRH,TSS1500,,,NA,
cg00222291,-0.171690003,0.000267561,0.016570656,16,NA,CDR2;CDR2,5'UTR;1stExon,chr16:22385077-22386485,Island,NA,Promoter_Associated
cg00225623,-0.465091492,0.00274785,0.043528476,13,NA,SPATA13;SPATA13,Body;Body,,,TRUE,Promoter_Associated
cg00226822,-0.230720008,0.00058628,0.022233716,4,NA,,,chr4:1161127-1161682,N_Shelf,NA,
cg00227093,-0.435341425,0.001323594,0.031260276,5,NA,SYNPO,TSS1500,,,TRUE,Unclassified_Cell_type_specific
cg00227781,-0.343092645,9.18E-05,0.011428164,17,NA,,,chr17:72449982-72450617,Island,NA,Unclassified
cg00230715,-0.351568567,0.0004651,0.020339266,5,NA,EFNA5,Body,,,TRUE,
cg00230766,0.255064185,0.003641247,0.049704791,2,NA,ASAP2;ASAP2,Body;Body,,,TRUE,
cg00231728,-0.261581301,0.000641968,0.023045879,4,NA,,,chr4:113444181-113444389,N_Shore,TRUE,
cg00232092,0.424531745,0.003277747,0.047247167,7,NA,FBXL18,3'UTR,chr7:5521368-5521615,N_Shelf,NA,
cg00232483,-0.287261841,0.000942444,0.026945163,16,NA,IQCK,Body,,,TRUE,
cg00232500,0.138861956,0.001700311,0.034951708,9,NA,FREM1,TSS1500,,,NA,
cg00232735,-0.60982549,6.06E-05,0.009963987,11,NA,OPCML,Body,chr11:132934059-132934291,Island,NA,
cg00232816,-0.218906923,0.000600034,0.022362931,10,NA,,,chr10:134698653-134698968,N_Shore,NA,
cg00234261,-0.399048291,0.000570655,0.021978889,7,NA,WDR86,Body,chr7:151106244-151107808,N_Shore,NA,Unclassified_Cell_type_specific
cg00234467,0.341596908,0.000243729,0.01605028,17,NA,,,chr17:20223749-20225068,N_Shelf,NA,
cg00234655,0.218169034,0.003144638,0.046382048,18,NA,,,chr18:78004028-78005438,S_Shelf,NA,
cg00234691,-0.117046481,0.001590141,0.033853188,5,NA,SV2C,TSS200,chr5:75378974-75380796,Island,NA,Unclassified_Cell_type_specific
cg00238213,-0.264947116,0.000640767,0.023034329,7,NA,SRRM3,Body,chr7:75896510-75896944,N_Shore,NA,Unclassified_Cell_type_specific
cg00241712,-0.249967346,0.002443165,0.041173677,22,NA,A4GALT,5'UTR,chr22:43116151-43117121,N_Shore,NA,Unclassified_Cell_type_specific
cg00243897,-0.241213402,0.001143258,0.029350682,12,NA,PSMD9,TSS200,chr12:122326482-122327044,Island,NA,Promoter_Associated
cg00244634,-0.186947634,2.71E-05,0.007673734,12,NA,SCYL2;DEPDC4,TSS200;TSS1500,chr12:100660748-100661646,Island,NA,Promoter_Associated
cg00244642,-0.382517547,0.000630942,0.022882326,6,NA,,,chr6:164092861-164093113,Island,NA,
cg00245075,-0.365456302,0.00344393,0.048456058,12,NA,GALNT6,Body,,,TRUE,
cg00245538,0.360692305,0.002814528,0.044032508,13,NA,PCDH20,TSS200,,,NA,
cg00245778,0.376429619,0.000171188,0.014207935,1,NA,TOR3A,3'UTR,,,NA,
